row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,31,25.659.652.863.824,21.351.265.987.360,,1.0,31.0,25659652863824.0,21351265987360.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,31,196.502.323.670,221.644.168.033,,2.0,31.0,196502323670.0,221644168033.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,31,25.463.150.540.154,21.129.621.819.327,,10.0,31.0,25463150540154.0,21129621819327.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,32,21.352.367.879.327,18.065.660.920.766,,11.0,32.0,21352367879327.0,18065660920766.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,4.110.782.660.827,3.063.960.898.561,,20.0,,4110782660827.0,3063960898561.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,34,1.714.576.407.121,544.051.012.220,,21.0,34.0,1714576407121.0,544051012220.0
7.,7.,7.,Chi phí tài chính,22,35,538.441.839.396,608.826.839.674,,22.0,35.0,538441839396.0,608826839674.0
,,,- Trong đó: Chi phí lãi vay,23,,230.634.956.227,269.291.875.033,,23.0,,230634956227.0,269291875033.0
8.,8.,8.,Phần lãi trong công ty liên kết,24,18,149.618.393.769,24.720.477.307,,24.0,18.0,149618393769.0,24720477307.0
9.,9.,9.,Chi phí bán hàng,25,36,501.230.714.277,410.091.473.654,,25.0,36.0,501230714277.0,410091473654.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,36,672.777.027.693,457.243.436.130,,26.0,36.0,672777027693.0,457243436130.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,4.262.527.880.351,2.156.570.638.630,,30.0,,4262527880351.0,2156570638630.0
12.,12.,12.,Thu nhập khác,31,,9.854.065.565,13.640.263.988,,31.0,,9854065565.0,13640263988.0
13.,13.,13.,Chi phí khác,32,,10.197.740.363,17.291.241.240,,32.0,,10197740363.0,17291241240.0
14.,14.,14.,Lỗ khác (40=31-32),40,,(343.674.798),(3.650.977.252),,40.0,,-343674798.0,-3650977252.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,4.262.184.205.553,2.152.919.661.378,,50.0,,4262184205553.0,2152919661378.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,37,825.416.731.342,458.018.875.089,,51.0,37.0,825416731342.0,458018875089.0
17.,17.,17.,Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,37,19.636.966.853,(19.675.060.098),,52.0,37.0,19636966853.0,-19675060098.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,3.417.130.507.358,1.714.575.846.387,,60.0,,3417130507358.0,1714575846387.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,3.257.379.502.829,1.588.234.634.885,,61.0,,3257379502829.0,1588234634885.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,159.751.004.529,126.341.211.502,,62.0,,159751004529.0,126341211502.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,38,8.921,4.367,,70.0,38.0,8921.0,4367.0
