row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III.,III.,III.,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu và bán cổ phiếu quỹ",31,78.127.700.000,4.900.000.000,,31.0,78127700000.0,4900000000.0
2.,III. > 2.,2.,Tiền thu từ đi vay,33,15.961.136.945.713,12.446.607.938.233,,33.0,15961136945713.0,12446607938233.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,(13.535.902.822.708),(14.058.309.006.906),,34.0,-13535902822708.0,-14058309006906.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(2.144.425.182.050),(374.789.078.725),,36.0,-2144425182050.0,-374789078725.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,358.936.640.955,(1.981.590.147.398),,40.0,358936640955.0,-1981590147398.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,517.769.790.336,(435.258.495.328),,50.0,517769790336.0,-435258495328.0
,,,Tiền và tương đương tiền đầu năm,60,691.648.524.113,1.125.181.472.381,,60.0,691648524113.0,1125181472381.0
,,,Ảnh hưởng của thay đối tỷ giá hối đoái quy đổi ngoại tệ,61,3.466.520.717,1.725.547.060,,61.0,3466520717.0,1725547060.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,1.212.884.835.166,691.648.524.113,,70.0,1212884835166.0,691648524113.0
