row_label_raw,row_label_full,STT Tên công ty con,STT Tên công ty con_1,Nơi thành lập và hoạt động,Tỷ lệ sở hữu trực tiếp,Tỷ lệ quyền biểu quyết nằm giữ,Hoạt động chính,numeric__STT Tên công ty con_1,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ sở hữu trực tiếp,numeric__Tỷ lệ quyền biểu quyết nằm giữ,numeric__Hoạt động chính
1.,1.,1.,Công ty Cổ phần Dây cấp Điện Việt Nam (“CADIVI”) (i),Thành phố Hồ Chí Minh,"97,09%","97,09%",Sản xuất kinh doanh dây và cấp điện,,,0.9709,0.9709,
2.,2.,2.,Công ty Cổ phần Thiết bị Điện (“THIBIDI”),Đồng Nai,"98,07%","98,07%","Sản xuất, chế tạo, kinh doanh, sửa chữa thiết bị điện, máy biến áp",,,0.9806999999999999,0.9806999999999999,
3.,3.,3.,Công ty Cổ phần Thiết bị Do điện EMIC (“EMIC”),Hà Nội,"90,00%","90,00%","Sản xuất và kinh doanh thiết bị đo điện gồm công tơ điện, đồng hồ Volt-Ampe, máy biến dòng, máy biến áp, tủ điện và các sản phẩm khác",,,0.9,0.9,
4.,4.,4.,Công ty Dây đồng Việt Nam CFT (“CFT”),Đồng Nai,100%,100%,Sản xuất dây đồng và dây tráng thiếc,,,1.0,1.0,
