row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,"Phương tiện vận tải, thiết bị truyền dẫn VND",Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,"numeric__Phương tiện vận tải, thiết bị truyền dẫn VND",numeric__Thiết bị văn phòng VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.168.193.044.816,2.944.437.963.649,256.382.191.155,29.868.491.253,5.398.881.690.873,2168193044816.0,2944437963649.0,256382191155.0,29868491253.0,5398881690873.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,10.362.684.835,79.255.979.119,19.233.543.164,4.981.484.827,113.833.691.945,10362684835.0,79255979119.0,19233543164.0,4981484827.0,113833691945.0
Đầu tư xây dựng cơ bán hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bán hoàn thành,Đầu tư xây dựng cơ bán hoàn thành,2.060.931.397,51.768.554.305,49.353.389.604,4.012.940.692,107.195.815.998,2060931397.0,51768554305.0,49353389604.0,4012940692.0,107195815998.0
Giảm do thoái vốn tại công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,(956.537.080.850),(694.246.459.339),(4.348.568.753),(507.286.542),(1.655.639.395.484),-956537080850.0,-694246459339.0,-4348568753.0,-507286542.0,-1655639395484.0
Phân loại lại từ Bất động sản đầu tư,NGUYÊN GIÁ > Phân loại lại từ Bất động sản đầu tư,Phân loại lại từ Bất động sản đầu tư,23.088.957.847,-,-,-,23.088.957.847,23088957847.0,,,,23088957847.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(47.029.700.460),(59.978.152.777),(6.011.180.728),(6.118.512.686),(119.137.546.651),-47029700460.0,-59978152777.0,-6011180728.0,-6118512686.0,-119137546651.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.200.138.837.585,2.321.237.884.957,314.609.374.442,32.237.117.544,3.868.223.214.528,1200138837585.0,2321237884957.0,314609374442.0,32237117544.0,3868223214528.0
GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,GIÁ TRỊ KHẢU HAO LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ KHẢU HAO LỦY KẾ > Số dư đầu năm,Số dư đầu năm,756.000.546.945,2.088.589.042.099,155.951.516.254,21.782.181.400,3.022.323.286.698,756000546945.0,2088589042099.0,155951516254.0,21782181400.0,3022323286698.0
Khấu hao trong năm,GIÁ TRỊ KHẢU HAO LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,93.367.578.321,185.296.542.722,24.493.594.268,2.898.278.310,306.055.993.621,93367578321.0,185296542722.0,24493594268.0,2898278310.0,306055993621.0
Giảm do thoái vốn tại công ty con,GIÁ TRỊ KHẢU HAO LỦY KẾ > Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,(369.373.661.104),(430.700.437.459),(4.185.898.817),(506.718.111),(804.766.715.491),-369373661104.0,-430700437459.0,-4185898817.0,-506718111.0,-804766715491.0
Phân loại lại từ Bất động sản đầu tư,GIÁ TRỊ KHẢU HAO LỦY KẾ > Phân loại lại từ Bất động sản đầu tư,Phân loại lại từ Bất động sản đầu tư,3.490.840.190,,,,3.490.840.190,3490840190.0,,,,3490840190.0
"Thanh lý, nhượng bán","GIÁ TRỊ KHẢU HAO LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(46.306.441.888),(59.363.019.993),(5.971.824.095),(6.118.512.686),(117.759.798.662),-46306441888.0,-59363019993.0,-5971824095.0,-6118512686.0,-117759798662.0
Số dư cuối năm,GIÁ TRỊ KHẢU HAO LỦY KẾ > Số dư cuối năm,Số dư cuối năm,437.178.862.464,1.783.822.127.369,170.287.387.610,18.055.228.913,2.409.343.606.356,437178862464.0,1783822127369.0,170287387610.0,18055228913.0,2409343606356.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.412.192.497.871,855.848.921.550,100.430.674.901,8.086.309.853,2.376.558.404.175,1412192497871.0,855848921550.0,100430674901.0,8086309853.0,2376558404175.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,762.959.975.121,537.415.757.588,144.321.986.832,14.181.888.631,1.458.879.608.172,762959975121.0,537415757588.0,144321986832.0,14181888631.0,1458879608172.0
