row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năngtrả nợ,Số đầu năm > Giám do thoái vốn tạicông ty con,Số đầu năm > Tăng,Trong năm > VNDGiám,Số cuối năm > VNDGiá trị/Số có khả năngtrả nợ,numeric__Số đầu năm > VNDGiá trị/Số có khả năngtrả nợ,numeric__Số đầu năm > Giám do thoái vốn tạicông ty con,numeric__Số đầu năm > Tăng,numeric__Trong năm > VNDGiám,numeric__Số cuối năm > VNDGiá trị/Số có khả năngtrả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,2.727.809.855.214,-,14.830.737.976.301,13.263.842.107.825,4.294.705.723.690,2727809855214.0,,14830737976301.0,13263842107825.0,4294705723690.0
Vay ngân hàng (i),Vay ngân hàng (i),Vay ngân hàng (i),2.537.809.855.214,-,14.130.737.976.301,12.373.842.107.825,4.294.705.723.690,2537809855214.0,,14130737976301.0,12373842107825.0,4294705723690.0
Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,190.000.000.000,-,700.000.000.000,890.000.000.000,-,190000000000.0,,700000000000.0,890000000000.0,
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,243.283.076.681,77.785.000.000,244.805.584.075,238.120.144.333,172.183.516.423,243283076681.0,77785000000.0,244805584075.0,238120144333.0,172183516423.0
Vay dài hạn đến hạn trả ngân hàng,Vay dài hạn đến hạn trả ngân hàng,Vay dài hạn đến hạn trả ngân hàng,243.283.076.681,77.785.000.000,244.805.584.075,238.120.144.333,172.183.516.423,243283076681.0,77785000000.0,244805584075.0,238120144333.0,172183516423.0
,,,2.971.092.931.895,77.785.000.000,15.075.543.560.376,13.501.962.252.158,4.466.889.240.113,2971092931895.0,77785000000.0,15075543560376.0,13501962252158.0,4466889240113.0
