row_label_raw,row_label_full,Ngân hàng TMCP Ngoại Thương Việt Nam (i),Số cuối năm > Giá gốc > 2.178.670.000,Số cuối năm > Giá trị hợp lý > 6.547.065.000,Số cuối năm > VND > -,Số đầu năm > Giá gốc > 2.178.670.000,Số đầu năm > Giá trị hợp lý > 6.945.974.400,Số đầu năm > VND > -,numeric__Số cuối năm > Giá gốc > 2.178.670.000,numeric__Số cuối năm > Giá trị hợp lý > 6.547.065.000,numeric__Số cuối năm > VND > -,numeric__Số đầu năm > Giá gốc > 2.178.670.000,numeric__Số đầu năm > Giá trị hợp lý > 6.945.974.400,numeric__Số đầu năm > VND > -
Công ty Cổ phần Công nghệ cao (ii),Công ty Cổ phần Công nghệ cao (ii),Công ty Cổ phần Công nghệ cao (ii),1.057.011.301,(ii),-,1.057.011.301,(ii),-,1057011301.0,,,1057011301.0,,
Công ty Cổ phần Hạ tầng GELEX (iii),Công ty Cổ phần Hạ tầng GELEX (iii),Công ty Cổ phần Hạ tầng GELEX (iii),-,,-,1.111.361.869.099,(ii),-,,,,1111361869099.0,,
,,,3.235.681.301,,-,1.114.597.550.400,,-,3235681301.0,,,1114597550400.0,,
