row_label_raw,row_label_full,Ông Lê Bá Thọ > Ông Nguyễn Văn Tuấn,Chủ tịch (Bố nhiệm ngày 25 tháng 3 năm 2025) > Chủ tịch (Miễn nhiệm ngày 25 tháng 3 năm 2025),numeric__Chủ tịch (Bố nhiệm ngày 25 tháng 3 năm 2025) > Chủ tịch (Miễn nhiệm ngày 25 tháng 3 năm 2025)
Ông Đặng Phan Tường,Ông Đặng Phan Tường,Ông Đặng Phan Tường,Thành viên,
Ông Đỗ Duy Hưng,Ông Đỗ Duy Hưng,Ông Đỗ Duy Hưng,Thành viên,
Ông Nguyễn Đức Luyện,Ông Nguyễn Đức Luyện,Ông Nguyễn Đức Luyện,Thành viên,
Ông Nguyễn Trọng Trung,Ông Nguyễn Trọng Trung,Ông Nguyễn Trọng Trung,Thành viên (Bố nhiệm ngày 25 tháng 3 năm 2025),
