row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ khác thuộc vốn chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,835.287.500.000,536.209.913.991,5.000.000.000,1.055.499.015.330,517.516.900.017,5.949.513.329.338,3000000000000.0,835287500000.0,536209913991.0,5000000000.0,1055499015330.0,517516900017.0,5949513329338.0
Công ty con tăng vốn trong năm,Công ty con tăng vốn trong năm,Công ty con tăng vốn trong năm,-,-,-,-,-,4.900.000.000,4.900.000.000,,,,,,4900000000.0,4900000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,1.588.234.634.885,126.341.211.502,1.714.575.846.387,,,,,1588234634885.0,126341211502.0,1714575846387.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,(600.000.000.000),(81.525.798.800),(681.525.798.800),,,,,-600000000000.0,-81525798800.0,-681525798800.0
"Trích quỹ khen thường, phúc lợi","Trích quỹ khen thường, phúc lợi","Trích quỹ khen thường, phúc lợi",-,-,-,-,(7.409.630.700),(860.591.900),(8.270.222.600),,,,,-7409630700.0,-860591900.0,-8270222600.0
Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,-,(15.356.495.084),(10.399.373.316),(25.755.868.400),,,,,-15356495084.0,-10399373316.0,-25755868400.0
Thoái vốn tại công ty con,Thoái vốn tại công ty con,Thoái vốn tại công ty con,-,-,(24.186.309.668),-,24.186.309.668,-,-,,,-24186309668.0,,24186309668.0,,
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,835.287.500.000,512.023.604.323,5.000.000.000,2.045.153.834.099,555.972.347.503,6.953.437.285.925,3000000000000.0,835287500000.0,512023604323.0,5000000000.0,2045153834099.0,555972347503.0,6953437285925.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),659.999.560.000,(610.235.960.000),-,-,-,-,49.763.600.000,659999560000.0,-610235960000.0,,,,,49763600000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,3.257.379.502.829,159.751.004.529,3.417.130.507.358,,,,,3257379502829.0,159751004529.0,3417130507358.0
Cổ tức công bố (ii),Cổ tức công bố (ii),Cổ tức công bố (ii),-,-,-,-,(1.707.999.868.000),(144.845.969.500),(1.852.845.837.500),,,,,-1707999868000.0,-144845969500.0,-1852845837500.0
"Trích quỹ khen thường, phúc lợi (iii)","Trích quỹ khen thường, phúc lợi (iii)","Trích quỹ khen thường, phúc lợi (iii)",-,-,-,-,(11.710.278.429),(827.115.112),(12.537.393.541),,,,,-11710278429.0,-827115112.0,-12537393541.0
Công ty con tăng vốn trong năm,Công ty con tăng vốn trong năm,Công ty con tăng vốn trong năm,-,-,-,-,39.470.058.348,(39.470.058.348),-,,,,,39470058348.0,-39470058348.0,
Góp vốn thành lập công ty con,Góp vốn thành lập công ty con,Góp vốn thành lập công ty con,-,-,-,-,-,28.364.100.000,28.364.100.000,,,,,,28364100000.0,28364100000.0
Chuyển công ty liên kết từ gián tiếp sang trực tiếp,Chuyển công ty liên kết từ gián tiếp sang trực tiếp,Chuyển công ty liên kết từ gián tiếp sang trực tiếp,-,-,-,-,1.946.030.998,(1.946.030.998),-,,,,,1946030998.0,-1946030998.0,
Thoái vốn tại công ty con,Thoái vốn tại công ty con,Thoái vốn tại công ty con,-,-,(45.755.719.839),-,45.755.719.839,(186.257.434.968),(186.257.434.968),,,-45755719839.0,,45755719839.0,-186257434968.0,-186257434968.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,745.503.978,-,(745.503.978),-,-,,,745503978.0,,-745503978.0,,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.659.999.560.000,225.051.540.000,467.013.388.462,5.000.000.000,3.669.249.495.706,370.740.843.106,8.397.054.827.274,3659999560000.0,225051540000.0,467013388462.0,5000000000.0,3669249495706.0,370740843106.0,8397054827274.0
