row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Quyền sử dụng đất VND,Tổng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Quyền sử dụng đất VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,178.982.765.512,38.405.287.440,217.388.052.952,178982765512.0,38405287440.0,217388052952.0
Phân loại lại sang tài sản cố định,NGUYÊN GIÁ > Phân loại lại sang tài sản cố định,Phân loại lại sang tài sản cố định,(23.088.957.847),(8.705.198.486),(31.794.156.333),-23088957847.0,-8705198486.0,-31794156333.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(74.745.514.589),-,(74.745.514.589),-74745514589.0,,-74745514589.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,81.148.293.076,29.700.088.954,110.848.382.030,81148293076.0,29700088954.0,110848382030.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,81.852.761.350,12.623.580.076,94.476.341.426,81852761350.0,12623580076.0,94476341426.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,5.817.083.531,599.696.466,6.416.779.997,5817083531.0,599696466.0,6416779997.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(65.145.186.833),-,(65.145.186.833),-65145186833.0,,-65145186833.0
Phân loại lại sang tài sản cố định,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại sang tài sản cố định,Phân loại lại sang tài sản cố định,(3.490.840.190),(2.861.344.821),(6.352.185.011),-3490840190.0,-2861344821.0,-6352185011.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,19.033.817.858,10.361.931.721,29.395.749.579,19033817858.0,10361931721.0,29395749579.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,97.130.004.162,25.781.707.364,122.911.711.526,97130004162.0,25781707364.0,122911711526.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,62.114.475.218,19.338.157.233,81.452.632.451,62114475218.0,19338157233.0,81452632451.0
