row_label_raw,row_label_full,col_0,Công ty Cổ phần Chế tạo máy điện Việt Nam - Hungari (i),Công ty Cổ phần Sản xuất Máy biến áp Truyền tải MEE,Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Phú Thạnh Mỹ,Tổng VND,numeric__Công ty Cổ phần Chế tạo máy điện Việt Nam - Hungari (i),numeric__Công ty Cổ phần Sản xuất Máy biến áp Truyền tải MEE,numeric__Công ty Cổ phần Thiết bị điện,numeric__Công ty Cổ phần Phú Thạnh Mỹ,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,22.071.631.237,166.685.653.795,27.734.837.846,38.184.709.266,254.676.832.144,22071631237.0,166685653795.0,27734837846.0,38184709266.0,254676832144.0
Giám do thoái vốn ở công ty con,NGUYÊN GIÁ > Giám do thoái vốn ở công ty con,Giám do thoái vốn ở công ty con,-,-,-,(38.184.709.266),(38.184.709.266),,,,-38184709266.0,-38184709266.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,22.071.631.237,166.685.653.795,27.734.837.846,-,216.492.122.878,22071631237.0,166685653795.0,27734837846.0,,216492122878.0
PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,,,,,
Số dư đầu năm,PHÂN BỔ LỦY KẾ > Số dư đầu năm,Số dư đầu năm,15.765.450.881,100.011.392.280,21.208.993.651,22.910.825.561,159.896.662.373,15765450881.0,100011392280.0,21208993651.0,22910825561.0,159896662373.0
Phân bổ trong năm,PHÂN BỔ LỦY KẾ > Phân bổ trong năm,Phân bổ trong năm,2.522.472.141,16.668.565.380,3.262.922.100,6.462.027.722,28.915.987.343,2522472141.0,16668565380.0,3262922100.0,6462027722.0,28915987343.0
Giám do thoái vốn ở công ty con,PHÂN BỔ LỦY KẾ > Giám do thoái vốn ở công ty con,Giám do thoái vốn ở công ty con,-,-,-,(29.372.853.283),(29.372.853.283),,,,-29372853283.0,-29372853283.0
Số dư cuối năm,PHÂN BỔ LỦY KẾ > Số dư cuối năm,Số dư cuối năm,18.287.923.022,116.679.957.660,24.471.915.751,-,159.439.796.433,18287923022.0,116679957660.0,24471915751.0,,159439796433.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,6.306.180.356,66.674.261.515,6.525.844.195,15.273.883.705,94.780.169.771,6306180356.0,66674261515.0,6525844195.0,15273883705.0,94780169771.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.783.708.215,50.005.696.135,3.262.922.095,-,57.052.326.445,3783708215.0,50005696135.0,3262922095.0,,57052326445.0
