row_label_raw,row_label_full,Ngân hàng > SHINHAN Việt Nam – Chi nhánh Biên Hòa,Số dư cuối năm > VND,Số dư đầu năm > VND,Ngày đáo hạn và kỳ trả lãi,Lãi suất > %/năm,Tài sản bảo đảm,numeric__Số dư cuối năm > VND,numeric__Số dư đầu năm > VND,numeric__Ngày đáo hạn và kỳ trả lãi,numeric__Lãi suất > %/năm,numeric__Tài sản bảo đảm
,,,1.220.126.336.686,696.707.905.157,,,,1220126336686.0,696707905157.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,172.183.516.423,243.283.076.681,,,,172183516423.0,243283076681.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,1.047.942.820.263,453.424.828.476,,,,1047942820263.0,453424828476.0,,,
