row_label_raw,row_label_full,(a),Ngắn hạn,col_2,col_3,numeric__Ngắn hạn,numeric__col_2,numeric__col_3
(a),(a),(a),Ngắn hạn,2022VND,2021VND,,,
(a),(a) > (a),(a),Tiền trả trước của khách hàng cho dịch vụ viễn thông,1.548.863.526.027,1.377.808.677.041,,1548863526027.0,1377808677041.0
(a),(a) > (a),(a),Khác,1.772.804.088,2.660.804.088,,1772804088.0,2660804088.0
(a),(a) > (a),(a),,1.550.636.330.115,1.380.469.481.129,,1550636330115.0,1380469481129.0
(b),(b),(b),Dài hạn,,,,,
(b),(b),(b),Dài hạn,2022VND,2021VND,,,
(b),(b) > (b),(b),Tiền trả trước của khách hàng cho dịch vụ viễn thông,5.513.554.636,7.633.889.103,,5513554636.0,7633889103.0
(b),(b) > (b),(b),Khác,31.467.272.359,33.240.076.552,,31467272359.0,33240076552.0
(b),(b) > (b),(b),,36.980.826.995,40.873.965.655,,36980826995.0,40873965655.0
17,17,17,PHẢI TRẢ NGẦN HẠN KHÁC,,,,,
17,17,17,PHẢI TRẢ NGẦN HẠN KHÁC,2022VND,2021VND,,,
17,17 > 17,17,Bên liên quan (Thuyết minh 33(b)),2.049.141.272,2.020.158.874,,2049141272.0,2020158874.0
17,17 > 17,17,"Ký quỹ, ký cược",121.036.283.832,106.537.314.764,,121036283832.0,106537314764.0
17,17 > 17,17,Khác,88.272.541.601,93.577.232.900,,88272541601.0,93577232900.0
17,17 > 17,17,,211.357.966.705,202.134.706.538,,211357966705.0,202134706538.0
