row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2022VND,Số phải thu trong năm VND,Cấn trừ trong năm VND,Số đã thực thu trong năm VND,Tại ngày31.12.2022VND,numeric__col_1,numeric__Tại ngày1.1.2022VND,numeric__Số phải thu trong năm VND,numeric__Cấn trừ trong năm VND,numeric__Số đã thực thu trong năm VND,numeric__Tại ngày31.12.2022VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế TNDN,9.444.092.790,72.166.759.453,(9.444.092.790),-,72.166.759.453,,9444092790.0,72166759453.0,-9444092790.0,,72166759453.0
(a),(a) > (a),(a),Thuế thu nhập cá nhân,217.291.970,38.109.531.179,(361.146.883),-,37.965.676.266,,217291970.0,38109531179.0,-361146883.0,,37965676266.0
(a),(a) > (a),(a),Thuế GTGT,-,47.871.244.756,-,-,47.871.244.756,,,47871244756.0,,,47871244756.0
(a),(a) > (a),(a),Thuế khác,-,2.365.985.307,-,-,2.365.985.307,,,2365985307.0,,,2365985307.0
(a),(a) > (a),(a),,9.661.384.760,160.513.520.695,(9.805.239.673),-,160.369.665.782,,9661384760.0,160513520695.0,-9805239673.0,,160369665782.0
(a),(a),(a),,Tại ngày1.1.2022VND,Số phải nộp trong năm VND,Cấn trừ trong năm VND,Số đã thực nộp trong năm VND,Tại ngày31.12.2022VND,,,,,,
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Thuế GTGT đầu ra,48.011.076.499,2.227.784.257.984,(1.611.503.362.844),(646.105.513.877),18.186.457.762,,48011076499.0,2227784257984.0,-1611503362844.0,-646105513877.0,18186457762.0
(b),(b) > (b),(b),Thuế GTGT đầu ra hàng nhập khẩu,24.991,184.114.321.155,-,(184.114.346.146),-,,24991.0,184114321155.0,,-184114346146.0,
(b),(b) > (b),(b),Thuế TNDN,85.646.758.553,553.870.253.638,(9.444.092.790),(615.194.355.629),14.878.563.772,,85646758553.0,553870253638.0,-9444092790.0,-615194355629.0,14878563772.0
(b),(b) > (b),(b),Thuế nhà thầu,2.838.095.093,71.064.255.448,-,(71.696.655.959),2.205.694.582,,2838095093.0,71064255448.0,,-71696655959.0,2205694582.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,7.268.056.668,236.749.762.084,(361.146.883),(237.959.249.766),5.697.422.103,,7268056668.0,236749762084.0,-361146883.0,-237959249766.0,5697422103.0
(b),(b) > (b),(b),Thuế nhập khẩu,249.911,197.019.141,-,(197.269.052),-,,249911.0,197019141.0,,-197269052.0,
(b),(b) > (b),(b),Thuế khác,-,941.096.819,-,(941.096.819),-,,,941096819.0,,-941096819.0,
(b),(b) > (b),(b),,143.764.261.715,3.274.720.966.269,(1.621.308.602.517),(1.756.208.487.248),40.968.138.219,,143764261715.0,3274720966269.0,-1621308602517.0,-1756208487248.0,40968138219.0
