row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Giấy phép bản quyền và quyền khai thác VND,Phần mềm vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Giấy phép bản quyền và quyền khai thác VND,numeric__Phần mềm vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1.1.2022,Nguyên giá > Tại ngày 1.1.2022,Tại ngày 1.1.2022,132.327.252.689,751.983.829.995,133.518.138.837,1.017.829.221.521,132327252689.0,751983829995.0,133518138837.0,1017829221521.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,31.230.898.724,1.943.717.135,51.121.347.327,84.295.963.186,31230898724.0,1943717135.0,51121347327.0,84295963186.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,-,(1.358.266.128),(1.358.266.128),,,-1358266128.0,-1358266128.0
Tại ngày 31.12.2022,Nguyên giá > Tại ngày 31.12.2022,Tại ngày 31.12.2022,163.558.151.413,753.927.547.130,183.281.220.036,1.100.766.918.579,163558151413.0,753927547130.0,183281220036.0,1100766918579.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1.1.2022,Khấu hao lũy kế > Tại ngày 1.1.2022,Tại ngày 1.1.2022,-,(323.532.470.434),(81.811.438.392),(405.343.908.826),,-323532470434.0,-81811438392.0,-405343908826.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(53.061.449.800),(27.910.217.857),(80.971.667.657),,-53061449800.0,-27910217857.0,-80971667657.0
"Thanh lý, xóa sổ","Khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,-,1.358.266.128,1.358.266.128,,,1358266128.0,1358266128.0
Tại ngày 31.12.2022,Khấu hao lũy kế > Tại ngày 31.12.2022,Tại ngày 31.12.2022,-,(376.593.920.234),(108.363.390.121),(484.957.310.355),,-376593920234.0,-108363390121.0,-484957310355.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1.1.2022,Giá trị còn lại > Tại ngày 1.1.2022,Tại ngày 1.1.2022,132.327.252.689,428.451.359.561,51.706.700.445,612.485.312.695,132327252689.0,428451359561.0,51706700445.0,612485312695.0
Tại ngày 31.12.2022,Giá trị còn lại > Tại ngày 31.12.2022,Tại ngày 31.12.2022,163.558.151.413,377.333.626.896,74.917.829.915,615.809.608.224,163558151413.0,377333626896.0,74917829915.0,615809608224.0
