row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Thiết bịquản lýVND,Phương tiệnvận tảiVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Thiết bịquản lýVND,numeric__Phương tiệnvận tảiVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,205.505.794.518,9.098.458.105.002,188.459.858.111,18.726.478.907,9.511.150.236.538,205505794518.0,9098458105002.0,188459858111.0,18726478907.0,9511150236538.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.869.545.152,549.352.171.873,9.933.237.877,1.169.950.000,567.324.904.902,6869545152.0,549352171873.0,9933237877.0,1169950000.0,567324904902.0
Chuyển sang từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển sang từ xây dựng cơ bản dở dang,Chuyển sang từ xây dựng cơ bản dở dang,-,1.258.110.091.426,-,-,1.258.110.091.426,,1258110091426.0,,,1258110091426.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(320.478),519.909.702,(519.589.224),-,-,-320478.0,519909702.0,-519589224.0,,
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,(127.103.708.440),(2.650.177.844),(679.714.545),(130.433.600.829),,-127103708440.0,-2650177844.0,-679714545.0,-130433600829.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,212.375.019.192,10.779.336.569.563,195.223.328.920,19.216.714.362,11.206.151.632.037,212375019192.0,10779336569563.0,195223328920.0,19216714362.0,11206151632037.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,(66.668.104.984),(4.967.144.577.995),(169.295.342.305),(12.559.028.077),(5.215.667.053.361),-66668104984.0,-4967144577995.0,-169295342305.0,-12559028077.0,-5215667053361.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(7.895.068.564),(1.073.173.610.831),(9.891.567.274),(1.719.074.870),(1.092.679.321.539),-7895068564.0,-1073173610831.0,-9891567274.0,-1719074870.0,-1092679321539.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,41.600,(436.952.562),436.910.962,-,-,41600.0,-436952562.0,436910962.0,,
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,93.494.273.553,2.580.968.344,679.714.545,96.754.956.442,,93494273553.0,2580968344.0,679714545.0,96754956442.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,(74.563.131.948),(5.947.260.867.835),(176.169.030.273),(13.598.388.402),(6.211.591.418.458),-74563131948.0,-5947260867835.0,-176169030273.0,-13598388402.0,-6211591418458.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,138.837.689.534,4.131.313.527.007,19.164.515.806,6.167.450.830,4.295.483.183.177,138837689534.0,4131313527007.0,19164515806.0,6167450830.0,4295483183177.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,137.811.887.244,4.832.075.701.728,19.054.298.647,5.618.325.960,4.994.560.213.579,137811887244.0,4832075701728.0,19054298647.0,5618325960.0,4994560213579.0
