row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2016VND,Giá trị ghi số > 01/01/2016VND,numeric__Giá trị ghi số > 31/12/2016VND,numeric__Giá trị ghi số > 01/01/2016VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,406.676.809.154,470.061.718.120,406676809154.0,470061718120.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,267.762.976.326,157.059.705.983,267762976326.0,157059705983.0
Các khoản ký quỹ,Tài sản tài chính > Các khoản ký quỹ,Các khoản ký quỹ,3.789.210.700,37.190.398.970,3789210700.0,37190398970.0
Cộng,Tài sản tài chính > Cộng,Cộng,678.228.996.180,664.311.823.073,678228996180.0,664311823073.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay và nợ,Công nợ tài chính > Các khoản vay và nợ,Các khoản vay và nợ,1.783.373.985.536,906.970.059.962,1783373985536.0,906970059962.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,309.968.543.768,204.742.381.014,309968543768.0,204742381014.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,2.080.000.000,-,2080000000.0,
Cộng,Công nợ tài chính > Cộng,Cộng,2.095.422.529.304,1.111.712.440.976,2095422529304.0,1111712440976.0
