row_label_raw,row_label_full,Ngày phát hành,Số cổ phiếu phát hành thêm trong kỳ,Số cổ phiếu đã phát hành lũy kế,Thời gian lưu hành trong kỳ,Số cổ phiếu bình quân,numeric__Số cổ phiếu phát hành thêm trong kỳ,numeric__Số cổ phiếu đã phát hành lũy kế,numeric__Thời gian lưu hành trong kỳ,numeric__Số cổ phiếu bình quân
01-01-16,01-01-16,01-01-16,49.499.988,49.499.988,366,49.499.988,49499988.0,49499988.0,366.0,49499988.0
27-04-16,27-04-16,27-04-16,783.330,50.283.318,249,532.921,783330.0,50283318.0,249.0,532921.0
03-05-16,03-05-16,03-05-16,800.000,51.083.318,243,531.148,800000.0,51083318.0,243.0,531148.0
04-05-16,04-05-16,04-05-16,816.670,51.899.988,242,539.984,816670.0,51899988.0,242.0,539984.0
12-12-16,12-12-16,12-12-16,1.600.000,53.499.988,20,87.432,1600000.0,53499988.0,20.0,87432.0
13-12-16,13-12-16,13-12-16,216.000,53.715.988,19,11.213,216000.0,53715988.0,19.0,11213.0
15-12-16,15-12-16,15-12-16,1.184.000,54.899.988,17,54.995,1184000.0,54899988.0,17.0,54995.0
16-12-16,16-12-16,16-12-16,1.465.000,56.364.988,16,64.044,1465000.0,56364988.0,16.0,64044.0
31-12-16,31-12-16,31-12-16,-,56.364.988,-,-,,56364988.0,,
Số lượng cổ phiếu đang lưu hành bình quân,Số lượng cổ phiếu đang lưu hành bình quân,Số lượng cổ phiếu đang lưu hành bình quân,Số lượng cổ phiếu đang lưu hành bình quân,Số lượng cổ phiếu đang lưu hành bình quân,Số lượng cổ phiếu đang lưu hành bình quân,51.321.724,,,,51321724.0
