row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm 2016VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm 2015VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm 2016VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm 2015VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",9.775.605.888,4.276.349.916,9775605888.0,4276349916.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,19.308.222.468,15.077.334.248,19308222468.0,15077334248.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,9.142.907.605,7.611.713.486,9142907605.0,7611713486.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,13.385.117.512,7.490.526.237,13385117512.0,7490526237.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,10.941.422.893,7.152.486.377,10941422893.0,7152486377.0
Chi phí dự phòng phải thu khó đòi,Chi phí dự phòng phải thu khó đòi,Chi phí dự phòng phải thu khó đòi,69.473.734,-,69473734.0,
Cộng,Cộng,Cộng,62.622.750.100,41.608.410.264,62622750100.0,41608410264.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
"Chi phí nguyên liệu, vật liệu","Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",2.145.408.690,30.899.191.738,2145408690.0,30899191738.0
Chi phí nhân công,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nhân công,Chi phí nhân công,3.184.599.230,3.372.990.649,3184599230.0,3372990649.0
Chi phí khấu hao tài sản cố định,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,5.123.931.485,3.201.986.221,5123931485.0,3201986221.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,41.675.359.527,31.497.801.798,41675359527.0,31497801798.0
Chi phí khác bằng tiền,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí khác bằng tiền,Chi phí khác bằng tiền,4.752.836.530,6.258.080.206,4752836530.0,6258080206.0
Cộng,Các khoản chi phí bán hàng phát sinh trong năm > Cộng,Cộng,56.882.135.462,75.230.050.612,56882135462.0,75230050612.0
