row_label_raw,row_label_full,Nhà cửa vật kiến trúc,25 - 50,numeric__25 - 50
Máy móc thiết bị,Máy móc thiết bị,Máy móc thiết bị,08 - 10,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,08 - 10,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,03 - 05,
"Cây lây năm, sức vật làm việc cho sản phẩm","Thiết bị văn phòng > Cây lây năm, sức vật làm việc cho sản phẩm","Cây lây năm, sức vật làm việc cho sản phẩm",05,5.0
Tài sản cố định hữu hình khác,Thiết bị văn phòng > Tài sản cố định hữu hình khác,Tài sản cố định hữu hình khác,03,3.0
