row_label_raw,row_label_full,Tại 31/12/2016,Dưới 1 năm VND > Tại 31/12/2016,Từ 1-5 năm VND > Tại 31/12/2016,Tổng VND > Tại 31/12/2016,numeric__Dưới 1 năm VND > Tại 31/12/2016,numeric__Từ 1-5 năm VND > Tại 31/12/2016,numeric__Tổng VND > Tại 31/12/2016
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,406.676.809.154,-,406.676.809.154,406676809154.0,,406676809154.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,267.762.976.326,-,267.762.976.326,267762976326.0,,267762976326.0
Các khoản ký quỹ,Các khoản ký quỹ,Các khoản ký quỹ,3.789.210.700,-,3.789.210.700,3789210700.0,,3789210700.0
Cộng,Cộng,Cộng,678.228.996.180,-,678.228.996.180,678228996180.0,,678228996180.0
Tại 31/12/2016,Tại 31/12/2016,Tại 31/12/2016,Tại 31/12/2016,Tại 31/12/2016,Tại 31/12/2016,,,
Phải trả người bán và phải trả khác,Tại 31/12/2016 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,309.968.543.768,-,309.968.543.768,309968543768.0,,309968543768.0
Chỉ phí phải trả,Tại 31/12/2016 > Chỉ phí phải trả,Chỉ phí phải trả,2.080.000.000,-,2.080.000.000,2080000000.0,,2080000000.0
Các khoản vay,Tại 31/12/2016 > Các khoản vay,Các khoản vay,800.794.847.498,982.579.138.038,1.783.373.985.536,800794847498.0,982579138038.0,1783373985536.0
Cộng,Tại 31/12/2016 > Cộng,Cộng,1.112.843.391.266,982.579.138.038,2.095.422.529.304,1112843391266.0,982579138038.0,2095422529304.0
Chênh lệch thanh khoản thuần,Tại 31/12/2016 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(434.614.395.086),(982.579.138.038),(1.417.193.533.124),-434614395086.0,-982579138038.0,-1417193533124.0
