row_label_raw,row_label_full,CHỈ TIẾU,Mã số,Thuyết minh,Năm 2016,Năm 2015,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2016,numeric__Năm 2015
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,2.145.496.749.447,1.616.048.818.116,1.0,,2145496749447.0,1616048818116.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,1.726.940.597,1.499.870.215,2.0,,1726940597.0,1499870215.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,6.1,2.143.769.808.850,1.614.548.947.901,10.0,61.0,2143769808850.0,1614548947901.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,6.2,1.836.734.397.150,1.424.741.156.735,11.0,62.0,1836734397150.0,1424741156735.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,307.035.411.700,189.807.791.166,20.0,,307035411700.0,189807791166.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,6.3,30.198.848.862,22.394.967.435,21.0,63.0,30198848862.0,22394967435.0
7. Chỉ phí hoạt động tài chính,7. Chỉ phí hoạt động tài chính,7. Chỉ phí hoạt động tài chính,22,6.4,53.927.481.929,49.991.756.319,22.0,64.0,53927481929.0,49991756319.0
- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,23,,27.284.472.139,24.065.811.358,23.0,,27284472139.0,24065811358.0
"8. Lãi(lỗ) trong công ty liên kết, liên doanh","8. Lãi(lỗ) trong công ty liên kết, liên doanh","8. Lãi(lỗ) trong công ty liên kết, liên doanh",24,,1.751.339.799,3.381.873.750,24.0,,1751339799.0,3381873750.0
9. Chỉ phí bán hàng,9. Chỉ phí bán hàng,9. Chỉ phí bán hàng,25,6.5,56.882.135.462,75.230.050.612,25.0,65.0,56882135462.0,75230050612.0
10. Chỉ phí quản lý doanh nghiệp,10. Chỉ phí quản lý doanh nghiệp,10. Chỉ phí quản lý doanh nghiệp,26,6.5,62.622.750.100,41.608.410.264,26.0,65.0,62622750100.0,41608410264.0
11 Lợi nhuận thuần từ hoạt động kính doanh,11 Lợi nhuận thuần từ hoạt động kính doanh,11 Lợi nhuận thuần từ hoạt động kính doanh,30,,165.553.232.870,48.754.415.156,30.0,,165553232870.0,48754415156.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,8.081.453.308,1.864.669.013,31.0,,8081453308.0,1864669013.0
13. Chỉ phí khác,13. Chỉ phí khác,13. Chỉ phí khác,32,,7.037.904.139,4.161.615,32.0,,7037904139.0,4161615.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,1.043.549.169,1.860.507.398,40.0,,1043549169.0,1860507398.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,166.596.782.039,50.614.922.554,50.0,,166596782039.0,50614922554.0
16. Chỉ phí thuế TNDN hiện hành,16. Chỉ phí thuế TNDN hiện hành,16. Chỉ phí thuế TNDN hiện hành,51,6.6,23.692.445.025,10.029.634.651,51.0,66.0,23692445025.0,10029634651.0
17. Chỉ phí thuế TNDN hoản lại,17. Chỉ phí thuế TNDN hoản lại,17. Chỉ phí thuế TNDN hoản lại,52,,(20.680.603),36.474.306,52.0,,-20680603.0,36474306.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,142.925.017.617,40.548.813.597,60.0,,142925017617.0,40548813597.0
- Lợi nhuận sau thuế của công ty mẹ,- Lợi nhuận sau thuế của công ty mẹ,- Lợi nhuận sau thuế của công ty mẹ,61,,141.985.475.965,40.015.870.985,61.0,,141985475965.0,40015870985.0
- Lợi nhuận sau thuế của cổ đông không kiểm soát,- Lợi nhuận sau thuế của cổ đông không kiểm soát,- Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,939.541.652,532.942.612,62.0,,939541652.0,532942612.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,6.8,2.611,642,70.0,68.0,2611.0,642.0
20. Lãi suy giảm trên cổ phiếu,20. Lãi suy giảm trên cổ phiếu,20. Lãi suy giảm trên cổ phiếu,71,6.8,1.757,642,71.0,68.0,1757.0,642.0
