row_label_raw,row_label_full,col_0,Vốn đầu tư chủ sở hữu VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn đầu tư chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,396.000.000.000,147.501.567.329,-,31.389.007.730,14.053.617.323,187.992.781.673,9.388.849.208,786.325.823.263,396000000000.0,147501567329.0,,31389007730.0,14053617323.0,187992781673.0,9388849208.0,786325823263.0
Vốn góp tăng trong năm,Vốn góp tăng trong năm,Vốn góp tăng trong năm,98.999.880.000,(93.000.000),-,-,-,-,-,98.906.880.000,98999880000.0,-93000000.0,,,,,,98906880000.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,1.587.734.457,-,-,40.015.870.985,532.942.612,42.136.548.054,,,1587734457.0,,,40015870985.0,532942612.0,42136548054.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,4.561.751.918,-,(10.469.641.990),-,(5.907.890.072),,,,4561751918.0,,-10469641990.0,,-5907890072.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,-,(101.099.880.000),-,(101.099.880.000),,,,,,-101099880000.0,,-101099880000.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,(876.213.000),-,-,(876.213.000),,,,,-876213000.0,,,-876213000.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,494.999.880.000,147.408.567.329,1.587.734.457,35.950.759.648,13.177.404.323,116.439.130.668,9.921.791.820,819.485.268.245,494999880000.0,147408567329.0,1587734457.0,35950759648.0,13177404323.0,116439130668.0,9921791820.0,819485268245.0
Vốn góp tăng trong năm (i),Vốn góp tăng trong năm (i),Vốn góp tăng trong năm (i),74.650.000.000,13.312.700.000,-,-,-,(4.000.000.000),-,83.962.700.000,74650000000.0,13312700000.0,,,,-4000000000.0,,83962700000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,141.985.475.965,-,141.985.475.965,,,,,,141985475965.0,,141985475965.0
Tăng trong năm (ii),Tăng trong năm (ii),Tăng trong năm (ii),-,-,205.250.085,-,-,-,-,205.250.085,,,205250085.0,,,,,205250085.0
Phân phối lợi nhuận (iii),Phân phối lợi nhuận (iii),Phân phối lợi nhuận (iii),-,-,-,2.324.127.281,-,(6.012.546.847),939.541.652,(2.748.877.914),,,,2324127281.0,,-6012546847.0,939541652.0,-2748877914.0
Trả cổ tức năm 2015 (iii),Trả cổ tức năm 2015 (iii),Trả cổ tức năm 2015 (iii),-,-,-,-,-,(34.649.991.600),-,(34.649.991.600),,,,,,-34649991600.0,,-34649991600.0
Tạm ứng cổ tức năm 2016 (iv),Tạm ứng cổ tức năm 2016 (iv),Tạm ứng cổ tức năm 2016 (iv),-,-,-,-,-,(51.899.988.000),-,(51.899.988.000),,,,,,-51899988000.0,,-51899988000.0
Giảm khác (v),Giảm khác (v),Giảm khác (v),-,-,(1.587.734.457),-,-,,-,(1.587.734.457),,,-1587734457.0,,,,,-1587734457.0
Số dư tai ngày 31/12/2016,Số dư tai ngày 31/12/2016,Số dư tai ngày 31/12/2016,569.649.880.000,160.721.267.329,205.250.085,38.274.886.929,13.177.404.323,161.862.080.186,10.861.333.472,954.752.102.324,569649880000.0,160721267329.0,205250085.0,38274886929.0,13177404323.0,161862080186.0,10861333472.0,954752102324.0
