row_label_raw,row_label_full,31/12/2016USD,01/01/2016USD,numeric__01/01/2016USD
"10.522.202,41","10.522.202,41","10.522.202,41","11.116.022,66",11116022.66
"2.166.288,97","2.166.288,97","2.166.288,97","6.651.809,70",6651809.7
"8.355.913,44","8.355.913,44","8.355.913,44","4.464.212,96",4464212.96
"6.684.863,74","6.684.863,74","6.684.863,74","1.033.950,65",1033950.65
"108.384,64","108.384,64","108.384,64","647,35",647.35
"63.740,42","63.740,42","63.740,42","647,35",647.35
"44.644,22","44.644,22","44.644,22",-,
"89.800,65","44.644,22 > 89.800,65","89.800,65","1.096,67",1096.67
"1.864,12","44.644,22 > 1.864,12","1.864,12","1.096,67",1096.67
"87.936,53","87.936,53","87.936,53",-,
"5.930,00","87.936,53 > 5.930,00","5.930,00","55.060,00",55060.0
-,"87.936,53 > -",-,"55.060,00",55060.0
"5.930,00","5.930,00","5.930,00",-,
"5.930,00","5.930,00","5.930,00",-,
"19.300,00","19.300,00","19.300,00",-,
"19.300,00","19.300,00","19.300,00",-,
-,"19.300,00 > -",-,"1.450,00",1450.0
-,"19.300,00 > -",-,"1.450,00",1450.0
