row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2016,NGUYÊN GIÁ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,45.053.245.844,152.885.660,45.206.131.504,45053245844.0,152885660.0,45206131504.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,55.646.428.589,-,55.646.428.589,55646428589.0,,55646428589.0
Giảm theo Thông tư 45,NGUYÊN GIÁ > Giảm theo Thông tư 45,Giảm theo Thông tư 45,-,(13.885.660),(13.885.660),,-13885660.0,-13885660.0
Tại ngày 31/12/2016,NGUYÊN GIÁ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,100.699.674.433,139.000.000,100.838.674.433,100699674433.0,139000000.0,100838674433.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,
Tại ngày 01/01/2016,HAO MÒN LỦY KẾ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,3.982.653.613,66.691.214,4.049.344.827,3982653613.0,66691214.0,4049344827.0
Khấu hao trong năm,HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,967.439.256,35.666.664,1.003.105.920,967439256.0,35666664.0,1003105920.0
Giảm theo Thông tư 45,HAO MÒN LỦY KẾ > Giảm theo Thông tư 45,Giảm theo Thông tư 45,-,(13.885.660),(13.885.660),,-13885660.0,-13885660.0
Tại ngày 31/12/2016,HAO MÒN LỦY KẾ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,4.950.092.869,88.472.218,5.038.565.087,4950092869.0,88472218.0,5038565087.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01/01/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2016,Tại ngày 01/01/2016,41.070.592.231,86.194.446,41.156.786.677,41070592231.0,86194446.0,41156786677.0
Tại ngày 31/12/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2016,Tại ngày 31/12/2016,95.749.581.564,50.527.782,95.800.109.346,95749581564.0,50527782.0,95800109346.0
