row_label_raw,row_label_full,CÔNG TY CỔ PHẦN NHỰA VÀ MÔI TRƯỜNG XANH AN PHÁT,BẢO CÁO TÀI CHÍNH HỢP NHẤT,numeric__BẢO CÁO TÀI CHÍNH HỢP NHẤT
"Lô CN11+CN12, cụm công nghiệp An Đồng,thị trấn Nam Sách, huyện Nam Sách, tỉnh Hải Dương","Lô CN11+CN12, cụm công nghiệp An Đồng,thị trấn Nam Sách, huyện Nam Sách, tỉnh Hải Dương","Lô CN11+CN12, cụm công nghiệp An Đồng,thị trấn Nam Sách, huyện Nam Sách, tỉnh Hải Dương",Cho năm tài chính kết thúcngày 31 tháng 12 năm 2016,
THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO),THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO),THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO),Mẫu SỐ B09 - DN/HN,
Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo,Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo,Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo,,
