row_label_raw,row_label_full,Hội đồng quản trị > Ông NGUYÊN TIÊN DŨNG > Bà TRẦN HÀI ANH > Ông VŨ HỒNG NAM > Ông VŨ MẠNH TIÊN > Bà NGUYÊN THỊ MAI > Ông LÊ XUẤN NGHĨA > Ông TRẦN KIM CHUNG > Ông NGUYÊN TUẤN HÀI,Chủ tịch > Thành viên > Phó chủ tịch > Thành viên thường trực > Thành viên độc lập > Thành viên,Ngày bổ nhiệm > 10/11/2017 > 15/11/2017 > 24/04/2015 > 9/11/2017 > 24/04/2015,Ngày miễn nhiệm > 10/11/2017 > 9/11/2017,numeric__Chủ tịch > Thành viên > Phó chủ tịch > Thành viên thường trực > Thành viên độc lập > Thành viên,numeric__Ngày bổ nhiệm > 10/11/2017 > 15/11/2017 > 24/04/2015 > 9/11/2017 > 24/04/2015,numeric__Ngày miễn nhiệm > 10/11/2017 > 9/11/2017
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,,
Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Trường ban,24/04/2015,,,,
Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Phó ban,24/04/2015,,,,
Ông LÊ TRỌNG HIỂU,Ông LÊ TRỌNG HIỂU,Ông LÊ TRỌNG HIỂU,Thành viên,24/04/2015,,,,
Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,,,
Ông LÊ HỒNG PHƯƠNG,Ông LÊ HỒNG PHƯƠNG,Ông LÊ HỒNG PHƯƠNG,Tổng Giám đốc,18/10/2017,,,,
Ông VŨ MẠNH TIÊN,Ông VŨ MẠNH TIÊN,Ông VŨ MẠNH TIÊN,Phó Tổng giám đốc thường trực,11/11/2013,,,,
Bà NGUYÊN THỊ MAI,Bà NGUYÊN THỊ MAI,Bà NGUYÊN THỊ MAI,Phó Tổng giám đốc,06/02/2013,,,,
Ông TẠ NGỌC ĐA,Ông TẠ NGỌC ĐA,Ông TẠ NGỌC ĐA,Phó Tổng giám đốc,10/10/2015,01/08/2017,,,
Ông ĐẶNG MINH HÀI,Ông ĐẶNG MINH HÀI,Ông ĐẶNG MINH HÀI,Phó Tổng giám đốc,25/5/2016,01/11/2017,,,
Ông HOÀNG TUẤN TỪ,Ông HOÀNG TUẤN TỪ,Ông HOÀNG TUẤN TỪ,Phó Tổng giám đốc,01/02/2018,,,,
Ông NGUYÊN HỒNG LONG,Ông NGUYÊN HỒNG LONG,Ông NGUYÊN HỒNG LONG,Phó Tổng giám đốc,21/08/2017,,,,
Ông PHẠM THÊ HIỆP,Ông PHẠM THÊ HIỆP,Ông PHẠM THÊ HIỆP,Phó Tổng giám đốc,01/02/2018,,,,
Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Kế toán trường,01/08/2016,,,,
