row_label_raw,row_label_full,25. Tiền và các khoản tương đương tiền,31/12/2017,01/01/2017,numeric__31/12/2017,numeric__01/01/2017
Tiền mặt và các khoản tương đương tiền tại quỹ,Tiền mặt và các khoản tương đương tiền tại quỹ,Tiền mặt và các khoản tương đương tiền tại quỹ,285.896,281.946,285896.0,281946.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,2.336.309,1.626.961,2336309.0,1626961.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác (không ký hạn và ký hạn < 3 tháng),Tiền gửi tại các TCTD khác và cho vay các TCTD khác (không ký hạn và ký hạn < 3 tháng),Tiền gửi tại các TCTD khác và cho vay các TCTD khác (không ký hạn và ký hạn < 3 tháng),8.721.915,9.167.908,8721915.0,9167908.0
Tổng cộng,Tổng cộng,Tổng cộng,11.344.120,11.076.815,11344120.0,11076815.0
VIII. Các thông tin khác,VIII. Các thông tin khác,VIII. Các thông tin khác,VIII. Các thông tin khác,VIII. Các thông tin khác,,
"26. Tinh hình thu nhập của cán bộ, công nhân viên","26. Tinh hình thu nhập của cán bộ, công nhân viên","26. Tinh hình thu nhập của cán bộ, công nhân viên",Năm 2017,Năm 2016,,
"I. Tổng số cán bộ, công nhân viên","26. Tinh hình thu nhập của cán bộ, công nhân viên > I. Tổng số cán bộ, công nhân viên","I. Tổng số cán bộ, công nhân viên",2.142,2.340,2142.0,2340.0
"II. Thu nhập của cán bộ, công nhân viên","II. Thu nhập của cán bộ, công nhân viên","II. Thu nhập của cán bộ, công nhân viên",,,,
1. Tổng quỹ lương,"II. Thu nhập của cán bộ, công nhân viên > 1. Tổng quỹ lương",1. Tổng quỹ lương,357.008,335.418,357008.0,335418.0
2. Tiền thường,2. Tiền thường,2. Tiền thường,-,-,,
3. Thu nhập khác,2. Tiền thường > 3. Thu nhập khác,3. Thu nhập khác,3.836,1.343,3836.0,1343.0
4. Tổng thu nhập (1+2+3),2. Tiền thường > 4. Tổng thu nhập (1+2+3),4. Tổng thu nhập (1+2+3),360.844,336.761,360844.0,336761.0
5. Tiền lương bình quân (đồng/người/tháng),2. Tiền thường > 5. Tiền lương bình quân (đồng/người/tháng),5. Tiền lương bình quân (đồng/người/tháng),"13,89","11,95",13.89,11.95
6. Thu nhập bình quân (đồng/người/tháng),2. Tiền thường > 6. Thu nhập bình quân (đồng/người/tháng),6. Thu nhập bình quân (đồng/người/tháng),"14,04","11,99",14.04,11.99
