row_label_raw,row_label_full,col_0,Số tiền,Ngày đáo hạn,numeric__Số tiền,numeric__Ngày đáo hạn
Bằng VND,Bằng VND,Bằng VND,1.000.000,,1000000.0,
Ngân hàng TMCP Việt Á,Ngân hàng TMCP Việt Á,Ngân hàng TMCP Việt Á,300.000,15/01/2018,300000.0,
,,,400.000,17/01/2018,400000.0,
,,,300.000,12/01/2018,300000.0,
Bằng ngoại hối,Bằng ngoại hối,Bằng ngoại hối,224.250,,224250.0,
Ngân hàng TMCP Quản Đội,Ngân hàng TMCP Quản Đội,Ngân hàng TMCP Quản Đội,224.250,04/01/2018,224250.0,
Tổng cộng,Tổng cộng,Tổng cộng,1.224.250,,1224250.0,
3.2. Cho vay các tổ chức tin dụng khác,3.2. Cho vay các tổ chức tin dụng khác,3.2. Cho vay các tổ chức tin dụng khác,31/12/2017,01/01/2017,,
Cho vay ngắn hạn (*),3.2. Cho vay các tổ chức tin dụng khác > Cho vay ngắn hạn (*),Cho vay ngắn hạn (*),723.250,2.350.323,723250.0,2350323.0
Bằng VND,3.2. Cho vay các tổ chức tin dụng khác > Bằng VND,Bằng VND,499.000,2.184.131,499000.0,2184131.0
Bằng ngoại hối,3.2. Cho vay các tổ chức tin dụng khác > Bằng ngoại hối,Bằng ngoại hối,224.250,166.192,224250.0,166192.0
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,-,-,,
Cộng,Dự phòng rủi ro cho vay các TCTD khác > Cộng,Cộng,723.250,2.350.323,723250.0,2350323.0
Tổng tiền gửi và cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác > Tổng tiền gửi và cho vay các TCTD khác,Tổng tiền gửi và cho vay các TCTD khác,9.445.165,11.518.231,9445165.0,11518231.0
