row_label_raw,row_label_full,- Phân tích giá trị đầu tư theo loại hình đầu tư,31/12/2017 > - Phân tích giá trị đầu tư theo loại hình đầu tư,01/01/2017 > - Phân tích giá trị đầu tư theo loại hình đầu tư,numeric__31/12/2017 > - Phân tích giá trị đầu tư theo loại hình đầu tư,numeric__01/01/2017 > - Phân tích giá trị đầu tư theo loại hình đầu tư
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,50.000,50.000,50000.0,50000.0
Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,719.600,869.600,719600.0,869600.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(9.918),(6.918),-9918.0,-6918.0
Tổng cộng,Tổng cộng,Tổng cộng,759.682,912.682,759682.0,912682.0
