row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 6 tháng,Trong hạn > Từ 06 - 12 tháng,Trong hạn > Trên 1 năm,Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 6 tháng,numeric__Trong hạn > Từ 06 - 12 tháng,numeric__Trong hạn > Trên 1 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,-,281.946,-,-,-,-,281.946,,,281946.0,,,,,281946.0
Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,-,-,1.626.961,-,-,-,-,1.626.961,,,1626961.0,,,,,1626961.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",-,-,8.757.113,1.410.795,1.350.323,-,-,11.518.231,,,8757113.0,1410795.0,1350323.0,,,11518231.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,33.755,-,-,-,-,33.755,,,33755.0,,,,,33755.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),389.880,3.206.671,1.075.503,1.756.242,5.238.716,6.904.568,6.780.639,25.352.217,389880.0,3206671.0,1075503.0,1756242.0,5238716.0,6904568.0,6780639.0,25352217.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,40.032,-,251.378,16.813.686,2.020.724,19.125.821,,,40032.0,,251378.0,16813686.0,2020724.0,19125821.0
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,919.600,919.600,,,,,,,919600.0,919600.0
Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,1.182.577,1.182.577,,,,,,,1182577.0,1182577.0
Tải sản Có khác (*),Tải sản Có khác (*),Tải sản Có khác (*),-,-,9.353.284,-,-,-,-,9.353.284,,,9353284.0,,,,,9353284.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,389.880,3.206.671,21.168.595,3.167.037,6.840.417,23.718.254,10.903.539,69.394.392,389880.0,3206671.0,21168595.0,3167037.0,6840417.0,23718254.0,10903539.0,69394392.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,13.096.886,6.493.791,1.106.335,-,-,20.697.012,,,13096886.0,6493791.0,1106335.0,,,20697012.0
Tiền vay từ Chính phủ và NHNN,Nợ phải trả > Tiền vay từ Chính phủ và NHNN,Tiền vay từ Chính phủ và NHNN,-,-,1.209.304,-,-,-,-,1.209.304,,,1209304.0,,,,,1209304.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,11.644.267,8.999.378,17.656.629,3.547.965,55,41.848.294,,,11644267.0,8999378.0,17656629.0,3547965.0,55.0,41848294.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,185.439,185.439,,,,,,,185439.0,185439.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,18.700,5.000,44.987,-,850.000,918.687,,,18700.0,5000.0,44987.0,,850000.0,918687.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,138.204,195.656,407.123,52.810,169.613,963.407,,,138204.0,195656.0,407123.0,52810.0,169613.0,963407.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,26.107.362,15.693.825,19.215.074,3.600.775,1.205.107,65.822.144,,,26107362.0,15693825.0,19215074.0,3600775.0,1205107.0,65822144.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,389.880,3.206.671,(4.938.767),(12.526.788),(12.374.657),20.117.478,9.698.432,3.572.248,389880.0,3206671.0,-4938767.0,-12526788.0,-12374657.0,20117478.0,9698432.0,3572248.0
