row_label_raw,row_label_full,10.3 Tài sản có khác,31/12/2017,01/01/2017,numeric__31/12/2017,numeric__01/01/2017
- Tài sản khác,- Tài sản khác,- Tài sản khác,9.615,10.527,9615.0,10527.0
- Chi phí chờ phân bổ,- Chi phí chờ phân bổ,- Chi phí chờ phân bổ,2.953.632,3.186.356,2953632.0,3186356.0
- Tài sản gán nợ chờ xử lý,- Tài sản gán nợ chờ xử lý,- Tài sản gán nợ chờ xử lý,49.241,22.828,49241.0,22828.0
Cộng,Cộng,Cộng,3.012.488,3.219.711,3012488.0,3219711.0
10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác,31/12/2017,01/01/2017,,
- Dự phòng rủi ro các khoản nợ phải thu khó đòi,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác > - Dự phòng rủi ro các khoản nợ phải thu khó đòi,- Dự phòng rủi ro các khoản nợ phải thu khó đòi,(35.859),(28.859),-35859.0,-28859.0
Cộng,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác > Cộng,Cộng,(35.859),(28.859),-35859.0,-28859.0
11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,,,,
,,,31/12/2017,01/01/2017,,
11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,,,,
a. Tiền gửi không kỳ hạn,11.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,7.026.639,6.697.206,7026639.0,6697206.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,7.026.570,6.697.144,7026570.0,6697144.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,69,62,69.0,62.0
b. Tiền gửi có kỳ hạn,11.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,3.851.968,9.652.265,3851968.0,9652265.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,3.762.268,9.652.265,3762268.0,9652265.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,89.700,-,89700.0,
Cộng,11.1. Tiền gửi của các TCTD khác > Cộng,Cộng,10.878.607,16.349.471,10878607.0,16349471.0
11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,31/12/2017,01/01/2017,,
- Bằng VND,11.2. Vay các TCTD khác > - Bằng VND,- Bằng VND,4.352.579,3.904.362,4352579.0,3904362.0
- Bằng ngoại hối,11.2. Vay các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,493.350,443.180,493350.0,443180.0
Cộng,11.2. Vay các TCTD khác > Cộng,Cộng,4.845.929,4.347.542,4845929.0,4347542.0
Tổng cộng tiền gửi của và vay TCTD khác,11.2. Vay các TCTD khác > Tổng cộng tiền gửi của và vay TCTD khác,Tổng cộng tiền gửi của và vay TCTD khác,15.724.536,20.697.013,15724536.0,20697013.0
12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,,,,
- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,,,,
,,,31/12/2017,01/01/2017,,
Tiền gửi không kỳ hạn,- Thuyết minh theo loại tiền gửi > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,3.684.374,2.307.513,3684374.0,2307513.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,3.639.551,2.267.147,3639551.0,2267147.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,44.823,40.366,44823.0,40366.0
Tiền gửi có kỳ hạn,- Thuyết minh theo loại tiền gửi > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,41.916.787,39.346.035,41916787.0,39346035.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,39.722.840,37.109.537,39722840.0,37109537.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,2.193.947,2.236.498,2193947.0,2236498.0
Tiền gửi vốn chuyên dùng,- Thuyết minh theo loại tiền gửi > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,37.446,216,37446.0,216.0
