row_label_raw,row_label_full,Chỉ tiêu,Quả hạn > Trên 3 tháng,Quả hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 6 tháng,Trong hạn > Từ 06 - 12 tháng,Trong hạn > Trên 1 năm,Tổng,numeric__Quả hạn > Trên 3 tháng,numeric__Quả hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 6 tháng,numeric__Trong hạn > Từ 06 - 12 tháng,numeric__Trong hạn > Trên 1 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,-,285.896,-,-,-,-,285.896,,,285896.0,,,,,285896.0
Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,-,-,2.336.309,-,-,-,-,2.336.309,,,2336309.0,,,,,2336309.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",-,-,8.721.915,465.250,258.000,-,-,9.445.165,,,8721915.0,465250.0,258000.0,,,9445165.0
Chứng khoán kính doanh (*),Chứng khoán kính doanh (*),Chứng khoán kính doanh (*),-,-,-,-,342.618,-,-,342.618,,,,,342618.0,,,342618.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),1.487.539,1.313.306,1.746.445,2.620.079,8.405.055,8.171.901,8.366.261,32.110.586,1487539.0,1313306.0,1746445.0,2620079.0,8405055.0,8171901.0,8366261.0,32110586.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,100.342,1.361.819,11.925.698,2.175.288,15.563.146,,,,100342.0,1361819.0,11925698.0,2175288.0,15563146.0
"Gớp vốn, đầu tư dài hạn (*)","Gớp vốn, đầu tư dài hạn (*)","Gớp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,769.600,769.600,,,,,,,769600.0,769600.0
Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,1.375.361,1.375.361,,,,,,,1375361.0,1375361.0
Tải sản Có khác (*),Tải sản Có khác (*),Tải sản Có khác (*),2,-,62.382,78.942,66.373,185.931,9.782.812,10.176.442,2.0,,62382.0,78942.0,66373.0,185931.0,9782812.0,10176442.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,1.487.540,1.313.306,13.152.947,3.264.613,10.433.865,20.283.530,22.469.321,72.405.123,1487540.0,1313306.0,13152947.0,3264613.0,10433865.0,20283530.0,22469321.0,72405123.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,-,-,10.322.898,4.129.156,1.272.483,-,-,15.724.536,,,10322898.0,4129156.0,1272483.0,,,15724536.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,14.171.737,9.028.811,20.988.667,1.599.436,-,45.788.652,,,14171737.0,9028811.0,20988667.0,1599436.0,,45788652.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,18.492,4.345,16.058,-,-,38.895,,,18492.0,4345.0,16058.0,,,38895.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,218.455,218.455,,,,,,,218455.0,218455.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,13.078,55.950,3.676.995,803.330,850.000,5.399.353,,,13078.0,55950.0,3676995.0,803330.0,850000.0,5399353.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,174.572,265.452,1.038.394,43.024,-,1.521.442,,,174572.0,265452.0,1038394.0,43024.0,,1521442.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,24.700.777,13.483.714,26.992.597,2.445.791,1.068.455,68.691.333,,,24700777.0,13483714.0,26992597.0,2445791.0,1068455.0,68691333.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,1.487.540,1.313.306,(11.547.830),(10.219.100),(16.558.732),17.837.739,21.400.866,3.713.790,1487540.0,1313306.0,-11547830.0,-10219100.0,-16558732.0,17837739.0,21400866.0,3713790.0
