row_label_raw,row_label_full,Tên,31/12/2017,31/12/2017_1,31/12/2017_2,01/01/2017,01/01/2017_1,01/01/2017_2,numeric__31/12/2017,numeric__31/12/2017_1,numeric__31/12/2017_2,numeric__01/01/2017,numeric__01/01/2017_1,numeric__01/01/2017_2
Tên,Tên,Tên,Giá gốc,Dự phòng,Tỷ lệ phần vốn (%),Giá gốc,Dự phòng,Tỷ lệ phần vốn (%),,,,,,
Đầu tư vào công ty con,Tên > Đầu tư vào công ty con,Đầu tư vào công ty con,50.000,-,,50.000,-,,50000.0,,,50000.0,,
Công ty TNHH Quản lý và khai thác TS,Tên > Công ty TNHH Quản lý và khai thác TS,Công ty TNHH Quản lý và khai thác TS,50.000,-,"100,00%",50.000,-,"100,00%",50000.0,,1.0,50000.0,,1.0
Đầu tư dài hạn khác,Tên > Đầu tư dài hạn khác,Đầu tư dài hạn khác,719.600,(9.918),,869.600,(6.918),,719600.0,-9918.0,,869600.0,-6918.0,
Công ty CP khoáng sản Sài Gòn - Quy Nhơn,Tên > Công ty CP khoáng sản Sài Gòn - Quy Nhơn,Công ty CP khoáng sản Sài Gòn - Quy Nhơn,273.700,(3.000),"3,18%",273.700,-,"3,18%",273700.0,-3000.0,0.0318,273700.0,,0.0318
Công ty CP ĐT Sài Gòn (SGI),Tên > Công ty CP ĐT Sài Gòn (SGI),Công ty CP ĐT Sài Gòn (SGI),338.200,(3.000),"11,00%",338.200,(3.000),"11,00%",338200.0,-3000.0,0.11,338200.0,-3000.0,0.11
Công ty CP Chứng khoán Navibank,Tên > Công ty CP Chứng khoán Navibank,Công ty CP Chứng khoán Navibank,17.700,(3.918),"10,99%",17.700,(3.918),"10,99%",17700.0,-3918.0,0.1099,17700.0,-3918.0,0.1099
Công ty CP Đô Thị Du Lịch Cần Giờ,Tên > Công ty CP Đô Thị Du Lịch Cần Giờ,Công ty CP Đô Thị Du Lịch Cần Giờ,-,-,"0,00%",150.000,-,"10,00%",,,0.0,150000.0,,0.1
Công ty CP Đầu tư Phát triển nhà máy điện Sài Gòn - Bình Thuận,Tên > Công ty CP Đầu tư Phát triển nhà máy điện Sài Gòn - Bình Thuận,Công ty CP Đầu tư Phát triển nhà máy điện Sài Gòn - Bình Thuận,90.000,-,"9,00%",90.000,-,"9,00%",90000.0,,0.09,90000.0,,0.09
Tổng cộng,Tên > Tổng cộng,Tổng cộng,769.600,(9.918),,919.600,(6.918),,769600.0,-9918.0,,919600.0,-6918.0,
