row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,154.049,77.108,46.414,37.963,2.826,318.360,154049.0,77108.0,46414.0,37963.0,2826.0,318360.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,37,7.322,4.861,15.965,334,28.518,37.0,7322.0,4861.0,15965.0,334.0,28518.0
- Tăng khác,Nguyên giá TSCĐ hữu hình > - Tăng khác,- Tăng khác,59,-,48,1.775,-,1.882,59.0,,48.0,1775.0,,1882.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(3.061),(2.160),(1.432),(45),(6.698),,-3061.0,-2160.0,-1432.0,-45.0,-6698.0
- Giảm khác,Nguyên giá TSCĐ hữu hình > - Giảm khác,- Giảm khác,-,(1.351),-,(349),(992),(2.692),,-1351.0,,-349.0,-992.0,-2692.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,154.145,80.017,49.163,53.922,2.123,339.370,154145.0,80017.0,49163.0,53922.0,2123.0,339370.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,7.913,25.886,26.831,24.976,1.639,87.244,7913.0,25886.0,26831.0,24976.0,1639.0,87244.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.160,6.666,4.421,4.614,178,20.039,4160.0,6666.0,4421.0,4614.0,178.0,20039.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,-,-,28,1.413,-,1.441,,,28.0,1413.0,,1441.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(2.715),(1.665),(1.078),(45),(5.502),,-2715.0,-1665.0,-1078.0,-45.0,-5502.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(444),-,(302),(716),(1.463),,-444.0,,-302.0,-716.0,-1463.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,12.073,29.393,29.615,29.623,1.056,101.759,12073.0,29393.0,29615.0,29623.0,1056.0,101759.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,146.136,51.222,19.583,12.987,1.188,231.116,146136.0,51222.0,19583.0,12987.0,1188.0,231116.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,142.072,50.625,19.548,24.299,1.068,237.611,142072.0,50625.0,19548.0,24299.0,1068.0,237611.0
