row_label_raw,row_label_full,- Chứng khoán Nợ do các TCKT trong nước phát hành (*),8.101.727,7.892.799,numeric__8.101.727,numeric__7.892.799
- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,(92.964),(20.000),-92964.0,-20000.0
Cộng,Cộng,Cộng,8.008.763,7.872.799,8008763.0,7872799.0
Tổng cộng,Tổng cộng,Tổng cộng,15.470.182,19.105.821,15470182.0,19105821.0
