row_label_raw,row_label_full,Chỉ tiêu,Năm 2023(VND),Năm 2022(VND),Chênh lệch tăng (giảm) > Số tiền (VND),Chênh lệch tăng (giảm) > %,numeric__Năm 2023(VND),numeric__Năm 2022(VND),numeric__Chênh lệch tăng (giảm) > Số tiền (VND),numeric__Chênh lệch tăng (giảm) > %
Lợi nhuận sau thuế quý IV,Lợi nhuận sau thuế quý IV,Lợi nhuận sau thuế quý IV,"(22,518,085,141)","6,731,361,963","(29,249,447,104)",-434.5%,,,,-43.45
Lợi nhuận sau thuế lũy kế 12 tháng,Lợi nhuận sau thuế lũy kế 12 tháng,Lợi nhuận sau thuế lũy kế 12 tháng,"30,325,349,728","287,778,738,448","(257,453,388,720)",-89.5%,,,,-8.95
