row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Dự án Hải Đăng,Dự án Hải Đăng,Dự án Hải Đăng,389.210.844.380,426.524.230.142,389210844380.0,426524230142.0
Dự án Giai Xuân,Dự án Giai Xuân,Dự án Giai Xuân,241.149.856.918,36.737.308.150,241149856918.0,36737308150.0
Dự án Tâm Hưng,Dự án Tâm Hưng,Dự án Tâm Hưng,157.147.272.250,7.172.480.677,157147272250.0,7172480677.0
Dự án Tân Châu,Dự án Tân Châu,Dự án Tân Châu,135.277.033.278,134.657.086.862,135277033278.0,134657086862.0
Dự án Sông Hinh,Dự án Sông Hinh,Dự án Sông Hinh,107.718.514.955,-,107718514955.0,
Dự án Nhà máy Cám Tây Ninh,Dự án Nhà máy Cám Tây Ninh,Dự án Nhà máy Cám Tây Ninh,83.906.286.090,13.177.354.351,83906286090.0,13177354351.0
Dự án Bắc An Khánh,Dự án Bắc An Khánh,Dự án Bắc An Khánh,32.866.600.628,188.737.791.982,32866600628.0,188737791982.0
Dự án Trang Trại Xanh 2,Dự án Trang Trại Xanh 2,Dự án Trang Trại Xanh 2,-,134.825.226.682,,134825226682.0
Dự án Nam An Khánh,Dự án Nam An Khánh,Dự án Nam An Khánh,-,122.781.111.308,,122781111308.0
Dự án Đông An Khánh,Dự án Đông An Khánh,Dự án Đông An Khánh,-,90.286.294.462,,90286294462.0
Dự án Meat Bình Phước,Dự án Meat Bình Phước,Dự án Meat Bình Phước,-,3.682.800.000,,3682800000.0
Dự án Phú Yên 3,Dự án Phú Yên 3,Dự án Phú Yên 3,-,2.457.633.080,,2457633080.0
Dự án Nhà máy Cám Bình Định,Dự án Nhà máy Cám Bình Định,Dự án Nhà máy Cám Bình Định,-,2.105.194.000,,2105194000.0
Dự án Thiên Phú Sơn,Dự án Thiên Phú Sơn,Dự án Thiên Phú Sơn,-,1.471.889.000,,1471889000.0
Dự án Phú Yên 2,Dự án Phú Yên 2,Dự án Phú Yên 2,-,1.105.650.000,,1105650000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.147.276.408.499,1.165.722.050.696,1147276408499.0,1165722050696.0
