row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chi phí phải trả ngắn hạn,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,1.920.660.173,3.171.458.520,(1.250.798.347),3.171.458.520,1920660173.0,3171458520.0,-1250798347.0,3171458520.0
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,4.464.223.160,1.603.470.137,2.860.753.023,1.603.470.137,4464223160.0,1603470137.0,2860753023.0,1603470137.0
Lỗ thuế ghi nhận thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại > Lỗ thuế ghi nhận thuế thu nhập hoãn lại,Lỗ thuế ghi nhận thuế thu nhập hoãn lại,29.742.058.012,-,29.742.058.012,-,29742058012.0,,29742058012.0,
,,,36.126.941.345,4.774.928.657,31.352.012.688,4.774.928.657,36126941345.0,4774928657.0,31352012688.0,4774928657.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Dự phòng giảm giá của khoản đầu tư dài hạn,Thuế thu nhập hoãn lại phải trả > Dự phòng giảm giá của khoản đầu tư dài hạn,Dự phòng giảm giá của khoản đầu tư dài hạn,(1.803.637.391),(1.803.637.391),-,719.307.065,-1803637391.0,-1803637391.0,,719307065.0
Chi phí lãi vay vốn hóa,Thuế thu nhập hoãn lại phải trả > Chi phí lãi vay vốn hóa,Chi phí lãi vay vốn hóa,(3.892.339.055),-,(3.892.339.055),-,-3892339055.0,,-3892339055.0,
,,,(5.695.976.446),(1.803.637.391),(3.892.339.055),719.307.065,-5695976446.0,-1803637391.0,-3892339055.0,719307065.0
Thuế thu nhập hoãn lại thuần,Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại thuần,Thuế thu nhập hoãn lại thuần,30.430.964.899,2.971.291.266,,,30430964899.0,2971291266.0,,
Thu nhập thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,,,27.459.673.633,5.494.235.722,,,27459673633.0,5494235722.0
