row_label_raw,row_label_full,Quyền sử dụng đất,Lâu dài,numeric__Lâu dài
Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,3 – 50 năm,
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,2 – 24 năm,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,3 – 24 năm,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 – 10 năm,
Phần mềm máy tính,Phần mềm máy tính,Phần mềm máy tính,3 – 10 năm,
Gia súc,Gia súc,Gia súc,3 – 5 năm,
