row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Gia súc,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Gia súc,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,785.109.845.667,191.768.790.071,51.258.392.726,7.213.004.508,12.966.612.877,1.048.316.645.849,785109845667.0,191768790071.0,51258392726.0,7213004508.0,12966612877.0,1048316645849.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,459.008.726.181,92.236.476.330,947.050.000,-,7.252.501.294,559.444.753.805,459008726181.0,92236476330.0,947050000.0,,7252501294.0,559444753805.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,40.698.421.370,38.185.444.575,769.868.000,9.294.518.734,2.252.534,88.950.505.213,40698421370.0,38185444575.0,769868000.0,9294518734.0,2252534.0,88950505213.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(650.107.080),-,-,(9.890.739.400),(10.540.846.480),,-650107080.0,,,-9890739400.0,-10540846480.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.284.816.993.218,321.540.603.896,52.975.310.726,16.507.523.242,10.330.627.305,1.686.171.058.387,1284816993218.0,321540603896.0,52975310726.0,16507523242.0,10330627305.0,1686171058387.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,4.473.289.191,8.684.171.980,120.717.000,584.802.714,309.350.578,14.172.331.463,4473289191.0,8684171980.0,120717000.0,584802714.0,309350578.0,14172331463.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(117.917.134.357),(24.097.726.627),(10.122.747.662),(1.701.710.977),(5.493.140.839),(159.332.460.462),-117917134357.0,-24097726627.0,-10122747662.0,-1701710977.0,-5493140839.0,-159332460462.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(68.945.658.100),(22.019.677.328),(6.291.262.523),(1.568.726.227),(3.729.493.745),(102.554.817.923),-68945658100.0,-22019677328.0,-6291262523.0,-1568726227.0,-3729493745.0,-102554817923.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,18.058.530,-,-,5.853.628.942,5.871.687.472,,18058530.0,,,5853628942.0,5871687472.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(186.862.792.457),(46.099.345.425),(16.414.010.185),(3.270.437.204),(3.369.005.642),(256.015.590.913),-186862792457.0,-46099345425.0,-16414010185.0,-3270437204.0,-3369005642.0,-256015590913.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,667.192.711.310,167.671.063.444,41.135.645.064,5.511.293.531,7.473.472.038,888.984.185.387,667192711310.0,167671063444.0,41135645064.0,5511293531.0,7473472038.0,888984185387.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.097.954.200.761,275.441.258.471,36.561.300.541,13.237.086.038,6.961.621.663,1.430.155.467.474,1097954200761.0,275441258471.0,36561300541.0,13237086038.0,6961621663.0,1430155467474.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
,,,982.115.621.483,200.297.044.781,31.109.771.258,6.026.647.852,5.303.049.105,1.224.852.134.479,982115621483.0,200297044781.0,31109771258.0,6026647852.0,5303049105.0,1224852134479.0
