row_label_raw,row_label_full,Giá trị trái phiếu chuyển đổi > Cơ cấu vốn chủ sở hữu (Thuyết minh số 25.1),Giá trị trái phiếu chuyển đổi > Cơ cấu vốn chủ sở hữu (Thuyết minh số 25.1)_1,Số cuối năm > 600.000.000.000 > (137.648.613.977),numeric__Giá trị trái phiếu chuyển đổi > Cơ cấu vốn chủ sở hữu (Thuyết minh số 25.1)_1,numeric__Số cuối năm > 600.000.000.000 > (137.648.613.977)
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,462.351.386.023,,462351386023.0
Cộng:,Cộng:,Cộng:,Giá trị phân bổ lũy kế phần giá trị chiết khấu,13.572.019.890,,13572019890.0
Cộng:,Cộng:,Cộng:,Số đầu năm,-,,
Cộng:,Cộng: > Cộng:,Cộng:,Số phân bổ tăng trong năm,13.572.019.890,,13572019890.0
Cộng:,Cộng: > Cộng:,Cộng:,Số cuối năm,13.572.019.890,,13572019890.0
Trừ:,Cộng: > Trừ:,Trừ:,Giá trị phân bổ chi phí phát hành trái phiếu,(23.417.852.643),,-23417852643.0
Trừ:,Trừ:,Trừ:,Số đầu năm,-,,
Trừ:,Trừ: > Trừ:,Trừ:,Chỉ phí phát hành trái phiếu,(26.414.449.901),,-26414449901.0
Trừ:,Trừ: > Trừ:,Trừ:,Số phân bổ giảm trong năm,2.996.597.258,,2996597258.0
Trừ:,Trừ: > Trừ:,Trừ:,Số cuối năm,(23.417.852.643),,-23417852643.0
Cơ cấu nợ gốc tại ngày cuối năm,Trừ: > Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,452.505.553.270,,452505553270.0
