row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
BAF Myanmar,Phải thu ngắn hạn khác > BAF Myanmar,BAF Myanmar,Bán hàng,19.640.362.522,19.640.362.522,,19640362522.0,19640362522.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Siba Tech,Phải trả người bán ngắn hạn > Siba Tech,Siba Tech,Mua hàng,21.124.230.246,13.334.356.825,,21124230246.0,13334356825.0
Siba Food,Phải trả người bán ngắn hạn > Siba Food,Siba Food,Mua hàng,6.194.612.677,1.021.470.285,,6194612677.0,1021470285.0
Sibacons,Phải trả người bán ngắn hạn > Sibacons,Sibacons,Mua hàng,327.272.727,-,,327272727.0,
Tân Long,Phải trả người bán ngắn hạn > Tân Long,Tân Long,Mua hàng,182.084.109,22.057.351.759,,182084109.0,22057351759.0
A An,Phải trả người bán ngắn hạn > A An,A An,Mua hàng,3.359.988,-,,3359988.0,
TỔNG CỘNG,Phải trả người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,27.831.559.747,36.413.178.869,,27831559747.0,36413178869.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
Tân Long,Người mua trả tiền trước ngắn hạn > Tân Long,Tân Long,Khác,-,507.300,,,507300.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,
Siba Food,Phải trả ngắn hạn khác > Siba Food,Siba Food,Khác,27.481.798,-,,27481798.0,
