row_label_raw,row_label_full,Tại ngày 31/12/2024,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,766.899.014.162,1.184.501.368.949,1.951.400.383.111,766899014162.0,1184501368949.0,1951400383111.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,17.314.449.778.841,,,17314449778841.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,19.265.850.161.952,,,19265850161952.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,65.660.381.004,27.171.239.895,92.831.620.899,65660381004.0,27171239895.0,92831620899.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,9.896.676.082.021,,,9896676082021.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,9.989.507.702.920,,,9989507702920.0
,,,Nội địa VND,Xuất khẩu VND,Hợp nhất VNDĐã điều chỉnh lại,,,
Tại ngày 1/1/2024,Tại ngày 1/1/2024,Tại ngày 1/1/2024,,,,,,
Tài sản của bộ phận,Tại ngày 1/1/2024 > Tài sản của bộ phận,Tài sản của bộ phận,825.811.672.674,1.258.707.320.474,2.084.518.993.148,825811672674.0,1258707320474.0,2084518993148.0
Tài sản không phân bổ,Tại ngày 1/1/2024 > Tài sản không phân bổ,Tài sản không phân bổ,,,16.991.751.676.741,,,16991751676741.0
Tổng tài sản,Tại ngày 1/1/2024 > Tổng tài sản,Tổng tài sản,,,19.076.270.669.889,,,19076270669889.0
Nợ phải trả của bộ phận,Tại ngày 1/1/2024 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,36.110.680.260,41.420.322.665,77.531.002.925,36110680260.0,41420322665.0,77531002925.0
Các khoản nợ không phân bổ,Tại ngày 1/1/2024 > Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,9.901.601.991.448,,,9901601991448.0
Tổng nợ phải trả,Tại ngày 1/1/2024 > Tổng nợ phải trả,Tổng nợ phải trả,,,9.979.132.994.373,,,9979132994373.0
