row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tài sãnkhácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sãnkhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,121.125.604.239,23.805.468.442,1.758.735.714,146.689.808.395,121125604239.0,23805468442.0,1758735714.0,146689808395.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,4.090.029.591,-,4.090.029.591,,4090029591.0,,4090029591.0
Chuyển từ xây dựng cơbản dở dang,Nguyên giá > Chuyển từ xây dựng cơbản dở dang,Chuyển từ xây dựng cơbản dở dang,-,475.000.000,-,475.000.000,,475000000.0,,475000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,121.125.604.239,28.370.498.033,1.758.735.714,151.254.837.986,121125604239.0,28370498033.0,1758735714.0,151254837986.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,32.096.811.256,19.235.498.597,1.430.198.680,52.762.508.533,32096811256.0,19235498597.0,1430198680.0,52762508533.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.334.822.360,3.513.207.910,126.260.145,5.974.290.415,2334822360.0,3513207910.0,126260145.0,5974290415.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,34.431.633.616,22.748.706.507,1.556.458.825,58.736.798.948,34431633616.0,22748706507.0,1556458825.0,58736798948.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,89.028.792.983,4.569.969.845,328.537.034,93.927.299.862,89028792983.0,4569969845.0,328537034.0,93927299862.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,86.693.970.623,5.621.791.526,202.276.889,92.518.039.038,86693970623.0,5621791526.0,202276889.0,92518039038.0
