row_label_raw,row_label_full,col_0,31/12/2024,31/12/2024_1,numeric__31/12/2024,numeric__31/12/2024_1
,,,Giá gốc VND,Dự phòng VND,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,605.485.421.257,(5.154.318.288),605485421257.0,-5154318288.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,1.125.474.148.589,(17.648.985.174),1125474148589.0,-17648985174.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,7.697.455.143,-,7697455143.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,777.182.403.236,(2.210.405.049),777182403236.0,-2210405049.0
Thành phẩm,Thành phẩm,Thành phẩm,575.644.383.411,(45.211.921.761),575644383411.0,-45211921761.0
Hàng hóa,Hàng hóa,Hàng hóa,45.064.072.699,(1.918.802.591),45064072699.0,-1918802591.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,153.793.378.249,(300.869.918),153793378249.0,-300869918.0
,,,3.290.341.262.584,(72.445.302.781),3290341262584.0,-72445302781.0
,,,1/1/2024,1/1/2024,,
,,,Giá gốc VND,Dự phòng VND,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,555.582.920.788,(1.662.688.594),555582920788.0,-1662688594.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,921.530.102.295,(12.642.231.961),921530102295.0,-12642231961.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,9.686.652.724,-,9686652724.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,801.469.293.896,(5.914.695.818),801469293896.0,-5914695818.0
Thành phẩm,Thành phẩm,Thành phẩm,777.214.020.528,(80.448.718.046),777214020528.0,-80448718046.0
Hàng hóa,Hàng hóa,Hàng hóa,67.862.038.292,(1.813.219.638),67862038292.0,-1813219638.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,85.624.637.062,-,85624637062.0,
,,,3.218.969.665.585,(102.481.554.057),3218969665585.0,-102481554057.0
