row_label_raw,row_label_full,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê_1,Bất động sản đầu tư cho thuê_2,Bất động sản đầu tư cho thuê_3,Bất động sản đầu tư cho thuê_4,numeric__Bất động sản đầu tư cho thuê_1,numeric__Bất động sản đầu tư cho thuê_2,numeric__Bất động sản đầu tư cho thuê_3,numeric__Bất động sản đầu tư cho thuê_4
,,,Hạ tầng khu công nghiệp VND,"Nhà cửa, vật kiến trúc VND",Quyền sử dụng đất VND,Tổng cộng VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,211.082.890.880,152.240.902.443(2.594.260.089),5.862.462.662,369.186.255.985(2.594.260.089),211082890880.0,,5862462662.0,
Điều chỉnh giảm sau quyết toán,Điều chỉnh giảm sau quyết toán,Điều chỉnh giảm sau quyết toán,-,152.240.902.443(2.594.260.089),-,369.186.255.985(2.594.260.089),,,,
Số dư cuối năm,Điều chỉnh giảm sau quyết toán > Số dư cuối năm,Số dư cuối năm,211.082.890.880,149.646.642.354,5.862.462.662,366.591.995.896,211082890880.0,149646642354.0,5862462662.0,366591995896.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,36.360.501.679,52.953.671.602,4.241.759.670,93.555.932.951,36360501679.0,52953671602.0,4241759670.0,93555932951.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.890.912.948,2.115.850.189,97.823.387,8.104.586.524,5890912948.0,2115850189.0,97823387.0,8104586524.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,42.251.414.627,55.069.521.791,4.339.583.057,101.660.519.475,42251414627.0,55069521791.0,4339583057.0,101660519475.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,174.722.389.201,99.287.230.841,1.620.702.992,275.630.323.034,174722389201.0,99287230841.0,1620702992.0,275630323034.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,168.831.476.253,94.577.120.563,1.522.879.605,264.931.476.421,168831476253.0,94577120563.0,1522879605.0,264931476421.0
