row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sãnkhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sãnkhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.942.162.496.857,9.436.446.674.582,379.264.435.234,118.907.938.119,189.260.754.845,14.066.042.299.637,3942162496857.0,9436446674582.0,379264435234.0,118907938119.0,189260754845.0,14066042299637.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,12.335.785.215,60.435.861.798,18.314.944.215,4.899.587.986,1.828.120.983,97.814.300.197,12335785215.0,60435861798.0,18314944215.0,4899587986.0,1828120983.0,97814300197.0
Chuyên từ xây dựng cơ bản dở dang,Nguyên giá > Chuyên từ xây dựng cơ bản dở dang,Chuyên từ xây dựng cơ bản dở dang,141.765.744.304,202.193.463.913,57.497.549.649,145.700.000,4.088.815.555,405.691.273.421,141765744304.0,202193463913.0,57497549649.0,145700000.0,4088815555.0,405691273421.0
Chuyên từ tài sản cố định hữu hìnhthuê tài chính,Nguyên giá > Chuyên từ tài sản cố định hữu hìnhthuê tài chính,Chuyên từ tài sản cố định hữu hìnhthuê tài chính,-,28.035.299.238,-,-,-,28.035.299.238,,28035299238.0,,,,28035299238.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(17.081.340.761),(250.430.166.342),(10.540.361.331),(971.266.236),(8.493.537.627),(287.516.672.297),-17081340761.0,-250430166342.0,-10540361331.0,-971266236.0,-8493537627.0,-287516672297.0
Giảm do thoái vốn đầu tư vàocông ty con,Nguyên giá > Giảm do thoái vốn đầu tư vàocông ty con,Giảm do thoái vốn đầu tư vàocông ty con,(84.359.919.336),(34.054.665.506),(3.697.270.151),-,(347.120.188),(122.458.975.181),-84359919336.0,-34054665506.0,-3697270151.0,,-347120188.0,-122458975181.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(423.238.200),1.702.230.984,-,(1.278.992.784),-,-,-423238200.0,1702230984.0,,-1278992784.0,,
Điều chỉnh tăng/(giảm) sau quyếttoán,Nguyên giá > Điều chỉnh tăng/(giảm) sau quyếttoán,Điều chỉnh tăng/(giảm) sau quyếttoán,(4.598.258.108),80.586.000,-,-,-,(4.517.672.108),-4598258108.0,80586000.0,,,,-4517672108.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.989.801.269.971,9.444.409.284.667,440.839.297.616,121.702.967.085,186.337.033.568,14.183.089.852.907,3989801269971.0,9444409284667.0,440839297616.0,121702967085.0,186337033568.0,14183089852907.0
