row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sãnkhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sãnkhácVND,numeric__Tổng cộngVND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.738.406.278.353,6.176.303.592.553,275.119.662.314,88.737.663.394,156.107.394.626,8.434.674.591.240,1738406278353.0,6176303592553.0,275119662314.0,88737663394.0,156107394626.0,8434674591240.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,170.500.274.896,536.120.541.445,28.315.159.826,7.442.603.344,10.268.266.628,752.646.846.139,170500274896.0,536120541445.0,28315159826.0,7442603344.0,10268266628.0,752646846139.0
Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Chuyển từ tài sản cố định hữu hìnhthuê tài chính,-,13.686.269.864,-,-,-,13.686.269.864,,13686269864.0,,,,13686269864.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(16.008.052.646),(248.114.086.399),(9.331.833.384),(971.266.236),(8.493.537.627),(282.918.776.292),-16008052646.0,-248114086399.0,-9331833384.0,-971266236.0,-8493537627.0,-282918776292.0
Giảm do thoái vốn đầu tư vảocông ty con,Giá trị hao mòn lũy kế > Giảm do thoái vốn đầu tư vảocông ty con,Giảm do thoái vốn đầu tư vảocông ty con,(16.552.835.793),(21.970.261.436),(3.006.250.617),-,(195.574.703),(41.724.922.549),-16552835793.0,-21970261436.0,-3006250617.0,,-195574703.0,-41724922549.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(423.238.200),(89.525.526),-,512.763.726,-,-,-423238200.0,-89525526.0,,512763726.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.875.922.426.610,6.455.936.530.501,291.096.738.139,95.721.764.228,157.686.548.924,8.876.364.008.402,1875922426610.0,6455936530501.0,291096738139.0,95721764228.0,157686548924.0,8876364008402.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.203.756.218.504,3.260.143.082.029,104.144.772.920,30.170.274.725,33.153.360.219,5.631.367.708.397,2203756218504.0,3260143082029.0,104144772920.0,30170274725.0,33153360219.0,5631367708397.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.113.878.843.361,2.988.472.754.166,149.742.559.477,25.981.202.857,28.650.484.644,5.306.725.844.505,2113878843361.0,2988472754166.0,149742559477.0,25981202857.0,28650484644.0,5306725844505.0
