row_label_raw,row_label_full,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn_1,Chi phí trả trước dài hạn_2,Chi phí trả trước dài hạn_3,Chi phí trả trước dài hạn_4,Chi phí trả trước dài hạn_5,Chi phí trả trước dài hạn_6,numeric__Chi phí trả trước dài hạn_1,numeric__Chi phí trả trước dài hạn_2,numeric__Chi phí trả trước dài hạn_3,numeric__Chi phí trả trước dài hạn_4,numeric__Chi phí trả trước dài hạn_5,numeric__Chi phí trả trước dài hạn_6
,,,Chi phí đấttrả trướcVND,"Chi phí thuếvăn phòng,nhà xưởng,mặt bằngtrả trướcVND",Công cụ vàdụng cụVND,Chi phísửa chữa lớntài sân cố địnhVND,Chi phí trả trướcdài hạn khácVND,Tổng cộngVND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,172.613.288.947,11.527.500.000,63.381.897.722,28.783.571.493,30.762.608.717,307.068.866.879,172613288947.0,11527500000.0,63381897722.0,28783571493.0,30762608717.0,307068866879.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,4.405.903.133,50.491.850.896,10.958.449.502,14.604.453.063,80.460.656.594,,4405903133.0,50491850896.0,10958449502.0,14604453063.0,80460656594.0
Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,-,1.287.063.033,-,-,1.287.063.033,,,1287063033.0,,,1287063033.0
Giảm do thoái vốn đầu tư vảocông ty con,Giảm do thoái vốn đầu tư vảocông ty con,Giảm do thoái vốn đầu tư vảocông ty con,(1.638.455.711),-,(126.665.674),-,-,(1.765.121.385),-1638455711.0,,-126665674.0,,,-1765121385.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(7.870.185.590),(9.625.903.133),(58.321.919.115),(8.349.642.144),(11.397.229.618),(95.564.879.600),-7870185590.0,-9625903133.0,-58321919115.0,-8349642144.0,-11397229618.0,-95564879600.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,163.104.647.646,6.307.500.000,56.712.226.862,31.392.378.851,33.969.832.162,291.486.585.521,163104647646.0,6307500000.0,56712226862.0,31392378851.0,33969832162.0,291486585521.0
