row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Giá gốc VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,31/12/2024 Dự phòng VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Giá trị hợp lý VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__Giá gốc VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__31/12/2024 Dự phòng VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__Giá trị hợp lý VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn
▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),2.470.361.179.586,-,2.470.361.179.586,2470361179586.0,,2470361179586.0
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,,,
▪ Trái phiếu doanh nghiệp (ii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu doanh nghiệp (ii),▪ Trái phiếu doanh nghiệp (ii),147.080.649.336,(133.479.665.658),(*),147080649336.0,-133479665658.0,
▪ Trái phiếu ngân hàng (iii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu ngân hàng (iii),▪ Trái phiếu ngân hàng (iii),1.500.000.000,-,(*),1500000000.0,,
,,,148.580.649.336,(133.479.665.658),,148580649336.0,-133479665658.0,
,,,Giá gốc VND,1/1/2024 Dự phòng VND,Giá trị hợp lý VND,,,
Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,,,
▪ Tiền gửi có kỳ hạn (i),Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > ▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),2.172.291.547.473,-,2.191.783.549.756,2172291547473.0,,2191783549756.0
▪ Trái phiếu doanh nghiệp (ii),Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > ▪ Trái phiếu doanh nghiệp (ii),▪ Trái phiếu doanh nghiệp (ii),14.085.049.336,-,(*),14085049336.0,,
,,,2.186.376.596.809,-,,2186376596809.0,,
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,,,
▪ Tiền gửi có kỳ hạn (i),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),8.000.000.000,-,(*),8000000000.0,,
▪ Trái phiếu doanh nghiệp (ii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu doanh nghiệp (ii),▪ Trái phiếu doanh nghiệp (ii),148.485.600.000,(120.713.324.125),(*),148485600000.0,-120713324125.0,
▪ Trái phiếu ngân hàng (iii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu ngân hàng (iii),▪ Trái phiếu ngân hàng (iii),3.200.000.000,-,(*),3200000000.0,,
,,,159.685.600.000,(120.713.324.125),,159685600000.0,-120713324125.0,
