row_label_raw,row_label_full,col_0,Công nghiệpdệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpdệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,,,,,
Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Năm 2024 > Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,16.722.601.507.713,101.617.955.475,501.607.237.947,-,17.325.826.701.135,16722601507713.0,101617955475.0,501607237947.0,,17325826701135.0
Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Năm 2024 > Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,1.832.767.493.797,28.530.868.189,7.507.196.437,(1.868.805.558.423),-,1832767493797.0,28530868189.0,7507196437.0,-1868805558423.0,
Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Năm 2024 > Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,18.555.369.001.510,130.148.823.664,509.114.434.384,(1.868.805.558.423),17.325.826.701.135,18555369001510.0,130148823664.0,509114434384.0,-1868805558423.0,17325826701135.0
Phần lãi/(lỗ) trong công ty liên kết,Năm 2024 > Phần lãi/(lỗ) trong công ty liên kết,Phần lãi/(lỗ) trong công ty liên kết,598.276.449.480,4.730.866.165,(38.845.045.671),-,564.162.269.974,598276449480.0,4730866165.0,-38845045671.0,,564162269974.0
Kết quả kinh doanh của bộ phận,Năm 2024 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,610.620.733.245,9.605.856.171,46.542.015.866,137.142.973.834,803.911.579.116,610620733245.0,9605856171.0,46542015866.0,137142973834.0,803911579116.0
Thu nhập khác,Năm 2024 > Thu nhập khác,Thu nhập khác,120.278.142.411,2.387.264.666,397.805.996,(40.852.603.402),82.210.609.671,120278142411.0,2387264666.0,397805996.0,-40852603402.0,82210609671.0
Chi phí khác,Năm 2024 > Chi phí khác,Chi phí khác,(53.098.285.367),(1.016.963.495),(14.033.167.256),17.118.285.965,(51.030.130.153),-53098285367.0,-1016963495.0,-14033167256.0,17118285965.0,-51030130153.0
Chi phí thuế thu nhập doanh nghiệphiện hành,Năm 2024 > Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,(109.025.744.286),(2.796.714.447),(9.173.473.385),-,(120.995.932.118),-109025744286.0,-2796714447.0,-9173473385.0,,-120995932118.0
Lợi ích/(chi phí) thuế thu nhập doanh nghiệphoản lại,Năm 2024 > Lợi ích/(chi phí) thuế thu nhập doanh nghiệphoản lại,Lợi ích/(chi phí) thuế thu nhập doanh nghiệphoản lại,594.977.653,-,-,(59.252.580.775),(58.657.603.122),594977653.0,,,-59252580775.0,-58657603122.0
Lợi nhuận thuần sau thuế TNDN,Năm 2024 > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,569.369.823.656,8.179.442.895,23.733.181.221,54.156.075.622,655.438.523.394,569369823656.0,8179442895.0,23733181221.0,54156075622.0,655438523394.0
