row_label_raw,row_label_full,Năm 2024,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phậnKết quả kinh doanh của bộ phận,Tổng doanh thu của bộ phậnKết quả kinh doanh của bộ phận,Tổng doanh thu của bộ phậnKết quả kinh doanh của bộ phận,9.269.358.757.274949.575.308.256,8.056.467.943.861925.399.732.806,17.325.826.701.1351.874.975.041.062,9.269358757274949e+24,8.056467943861926e+24,1.7325826701135187e+26
Thu nhập không phân bổChi phí không phân bổ,Thu nhập không phân bổChi phí không phân bổ,Thu nhập không phân bổChi phí không phân bổ,,,960.471.321.144(2.031.534.783.090),,,
Kết quả từ hoạt động kinh doanh,Thu nhập không phân bổChi phí không phân bổ > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,803.911.579.116,,,803911579116.0
Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp,Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp,Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp,,,82.210.609.671(51.030.130.153)(179.653.535.240),,,
Lợi nhuận thuần sau thuế TNDN,Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,655.438.523.394,,,655438523394.0
Năm 2023,Năm 2023,Năm 2023,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,,,
Tổng doanh thu của bộ phậnKết quả kinh doanh của bộ phận,Năm 2023 > Tổng doanh thu của bộ phậnKết quả kinh doanh của bộ phận,Tổng doanh thu của bộ phậnKết quả kinh doanh của bộ phận,4.978.614.253.458(201.115.269.668),11.487.315.948.8721.429.235.130.738,16.465.930.202.3301.228.119.861.070,,1.1487315948872143e+26,1.6465930202330123e+26
Thu nhập không phân bổChi phí không phân bổ,Thu nhập không phân bổChi phí không phân bổ,Thu nhập không phân bổChi phí không phân bổ,,,935.848.382.716(1.781.479.295.425),,,
Kết quả từ hoạt động kinh doanh,Thu nhập không phân bổChi phí không phân bổ > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,382.488.948.361,,,382488948361.0
Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp,Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp,Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp,,,211.198.203.347(55.156.773.240)(142.646.631.143),,,
Lợi nhuận thuần sau thuế TNDN,Thu nhập khácChi phí khácThuế thu nhập doanh nghiệp > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,395.883.747.325,,,395883747325.0
