row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thếng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chính lệch đánh giá lại tài sản (*) VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Ngườn vốn đầu tư xây dựng cơ bản VND,Lợi ích cổ đông không kiểm soát VND,Tổng vốn chủ sở hữu VND,Ngườn kinh phí và các quỹ khác VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thếng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chính lệch đánh giá lại tài sản (*) VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Ngườn vốn đầu tư xây dựng cơ bản VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng vốn chủ sở hữu VND,numeric__Ngườn kinh phí và các quỹ khác VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2023 – đã điều chỉnh lại,Số dư tại ngày 1/1/2023 – đã điều chỉnh lại,Số dư tại ngày 1/1/2023 – đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,141.681.258.484,(747.830.122.185),729.561.831.692,1.205.185.564.164,543.092.845.095,2.433.467.328.936,9.335.520.638.538,22.214.516.922,9.357.735.155.460,5000000000000.0,30361932352.0,141681258484.0,-747830122185.0,729561831692.0,1205185564164.0,543092845095.0,2433467328936.0,9335520638538.0,22214516922.0,9357735155460.0
Số dư tại ngày 1/1/2024 – đã bảo cáo trước đáy,Số dư tại ngày 1/1/2024 – đã bảo cáo trước đáy,Số dư tại ngày 1/1/2024 – đã bảo cáo trước đáy,5.000.000.000.000,30.361.932.352,141.681.258.484,(747.830.122.185),729.561.831.692,1.227.618.429.680(22.432.865.516),543.092.845.095,2.455.810.642.094(22.343.313.138),9.380.296.817.212(44.776.178.674),22.214.516.922,9.402.511.334.134(44.776.178.674),5000000000000.0,30361932352.0,141681258484.0,-747830122185.0,729561831692.0,,543092845095.0,,,22214516922.0,
Điều chỉnh lại – Thôngy minh 46,Điều chỉnh lại – Thôngy minh 46,Điều chỉnh lại – Thôngy minh 46,-,-,-,-,-,(119.824.150.000),-,46.772.400.000,-,-,-,,,,,,-119824150000.0,,46772400000.0,,,
Vốn gópviven cổ phần,Vốn gópviven cổ phần,Vốn gópviven cổ phần,-,-,73.051.750.000,-,-,-,-,3.969.720.000,3.969.720.000,-,3.969.720.000,,,73051750000.0,,,,,3969720000.0,3969720000.0,,3969720000.0
Tăng vốn,Tăng vốn,Tăng vốn,-,-,-,-,-,-,-,230.356.814.427,395.883.747.325,-,395.883.747.325,,,,,,,,230356814427.0,395883747325.0,,395883747325.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,47.852.231.456,165.526.932.898(47.852.231.456),-,(30.019.288.024),(77.383.099.434),(2.041.627.020),(77.383.099.434)(2.041.627.020),,,,,47852231456.0,,,-30019288024.0,-77383099434.0,-2041627020.0,
Phân bổ quý passes tư phát triển,Phân bổ quý passes tư phát triển,Phân bổ quý passes tư phát triển,-,-,-,-,-,(47.363.811.410),-,(276.387.848.439),(576.387.848.439),-,(576.387.848.439),,,,,,-47363811410.0,,-276387848439.0,-576387848439.0,,-576387848439.0
"Phân bổ vào quỹ khhen thưởng, phúc lợi","Phân bổ vào quỹ khhen thưởng, phúc lợi","Phân bổ vào quỹ khhen thưởng, phúc lợi",-,-,-,-,-,-,-,(1.428.679.455),(4.638.372.376),-,(4.638.372.376),,,,,,,,-1428679455.0,-4638372376.0,,-4638372376.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,-,(300.000.000.000),-,-,-,-,-,,,,,,-300000000000.0,,,,,
Có tức,Có tức,Có tức,-,-,-,-,-,(3.210.151.021),-,-,-,-,-,,,,,,-3210151021.0,,,,,
