row_label_raw,row_label_full,col_0,1/1/2024 > Giá trị ghi sổ và số có khả năng trả nợ VND,1/1/2024 > Tăng VND,Biên động trong năm > Giảm VND,Biên động trong năm > Giảm do thoái vốn đầu tư vào công ty con trong năm VND,Biên động trong năm > Chênh lệch tỷ giá chưa thực hiện VND,31/12/2024 > Giá trị ghi sổ và số có khả năng trả nợ VND,numeric__1/1/2024 > Giá trị ghi sổ và số có khả năng trả nợ VND,numeric__1/1/2024 > Tăng VND,numeric__Biên động trong năm > Giảm VND,numeric__Biên động trong năm > Giảm do thoái vốn đầu tư vào công ty con trong năm VND,numeric__Biên động trong năm > Chênh lệch tỷ giá chưa thực hiện VND,numeric__31/12/2024 > Giá trị ghi sổ và số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.638.783.552.955,11.533.158.210.929,(11.321.927.988.589),(37.617.905.581),14.471.350.347,3.826.867.220.061,3638783552955.0,11533158210929.0,-11321927988589.0,-37617905581.0,14471350347.0,3826867220061.0
Vay và nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh 25(b)),Vay và nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh 25(b)),Vay và nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh 25(b)),262.321.326.412,191.574.049.203,(244.226.160.054),-,3.495.687.204,213.164.902.765,262321326412.0,191574049203.0,-244226160054.0,,3495687204.0,213164902765.0
,,,3.901.104.879.367,11.724.732.260.132,(11.566.154.148.643),(37.617.905.581),17.967.037.551,4.040.032.122.826,3901104879367.0,11724732260132.0,-11566154148643.0,-37617905581.0,17967037551.0,4040032122826.0
