row_label_raw,row_label_full,col_0,Giá trị ghi sổ củatài sản thuần tạингày mất quyền kiểm soátVND,numeric__Giá trị ghi sổ củatài sản thuần tạингày mất quyền kiểm soátVND
Tiền,Tiền,Tiền,7.981.150.006,7981150006.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,290.230.764,290230764.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,9.394.429.582,9394429582.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,13.435.403.788,13435403788.0
Thuế và các khoản khác phải thu của Nhà nước,Thuế và các khoản khác phải thu của Nhà nước,Thuế và các khoản khác phải thu của Nhà nước,600.000,600000.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,3.371.687.984,3371687984.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,1.184.493.728,1184493728.0
Tài sản cố định hữu hình – nguyên giá,Tài sản cố định hữu hình – nguyên giá,Tài sản cố định hữu hình – nguyên giá,122.458.975.181,122458975181.0
Tài sản cố định hữu hình – giá trị hao mòn lũy kế,Tài sản cố định hữu hình – giá trị hao mòn lũy kế,Tài sản cố định hữu hình – giá trị hao mòn lũy kế,(41.724.922.549),-41724922549.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,2.524.984.636,2524984636.0
Các khoản phải trả ngắn hạn,Các khoản phải trả ngắn hạn,Các khoản phải trả ngắn hạn,(38.027.935.168),-38027935168.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(37.617.905.581),-37617905581.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,(44.857.957.802),-44857957802.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(21.626.266),-21626266.0
Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát,Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát,Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát,(1.608.391.697),-1608391697.0
Lợi ích cổ đông không kiểm soát của công ty con cấp 1,Lợi ích cổ đông không kiểm soát của công ty con cấp 1,Lợi ích cổ đông không kiểm soát của công ty con cấp 1,(725.906.069),-725906069.0
Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,(882.485.628),-882485628.0
Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,2.851.957.645,2851957645.0
Giá trị tài sản thuần chuyển nhượng,Giá trị tài sản thuần chuyển nhượng,Giá trị tài sản thuần chuyển nhượng,(3.734.443.273),-3734443273.0
Lãi từ thoái vốn đầu tư vào các công ty con (Thuyết minh 35),Lãi từ thoái vốn đầu tư vào các công ty con (Thuyết minh 35),Lãi từ thoái vốn đầu tư vào các công ty con (Thuyết minh 35),16.832.683.273,16832683273.0
Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,13.098.240.000,13098240000.0
Khoản tiền giảm do thoái vốn đầu tư vào các công ty con,Khoản tiền giảm do thoái vốn đầu tư vào các công ty con,Khoản tiền giảm do thoái vốn đầu tư vào các công ty con,(7.981.150.006),-7981150006.0
Khoản tiền thuần tăng lên do thoái vốn đầu tư vào các công ty con,Khoản tiền thuần tăng lên do thoái vốn đầu tư vào các công ty con,Khoản tiền thuần tăng lên do thoái vốn đầu tư vào các công ty con,5.117.089.994,5117089994.0
