row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụvà dụng cụVND,Chi phí khácVND,Tổng cộngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụvà dụng cụVND,numeric__Chi phí khácVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,40.705.873.595,5.189.454.779,315.972.220,46.211.300.594,40705873595.0,5189454779.0,315972220.0,46211300594.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,5.209.297.293,589.626.888,5.798.924.181,,5209297293.0,589626888.0,5798924181.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(1.242.427.200),(4.669.921.444),(662.241.639),(6.574.590.283),-1242427200.0,-4669921444.0,-662241639.0,-6574590283.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,39.463.446.395,5.728.830.628,243.357.469,45.435.634.492,39463446395.0,5728830628.0,243357469.0,45435634492.0
