row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,533.392.109.562,1.090.112.528.775,55.405.261.319,48.243.995.231,1.727.153.894.887,533392109562.0,1090112528775.0,55405261319.0,48243995231.0,1727153894887.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.669.093.526,2.267.222.266,-,2.503.176.393,9.439.492.185,4669093526.0,2267222266.0,,2503176393.0,9439492185.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,2.167.224.865,-,1.434.476.094,3.601.700.959,,2167224865.0,,1434476094.0,3601700959.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(12.008.652.636),(879.326.044),-,-,(12.887.978.680),-12008652636.0,-879326044.0,,,-12887978680.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(43.622.811.856),(9.451.539.567),(16.493.832.717),(47.688.636),(69.615.872.776),-43622811856.0,-9451539567.0,-16493832717.0,-47688636.0,-69615872776.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,482.429.738.596,1.084.216.110.295,38.911.428.602,52.133.959.082,1.657.691.236.575,482429738596.0,1084216110295.0,38911428602.0,52133959082.0,1657691236575.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,237.475.573.144,488.413.432.108,35.167.111.025,32.825.816.339,793.881.932.616,237475573144.0,488413432108.0,35167111025.0,32825816339.0,793881932616.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,25.979.579.377,74.793.305.358,3.727.656.432,4.098.037.067,108.598.578.234,25979579377.0,74793305358.0,3727656432.0,4098037067.0,108598578234.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(3.516.064.733),(119.997.183),-,-,(3.636.061.916),-3516064733.0,-119997183.0,,,-3636061916.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(17.863.783.594),(7.016.678.610),(13.588.503.009),(47.688.636),(38.516.653.849),-17863783594.0,-7016678610.0,-13588503009.0,-47688636.0,-38516653849.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,242.075.304.194,556.070.061.673,25.306.264.448,36.876.164.770,860.327.795.085,242075304194.0,556070061673.0,25306264448.0,36876164770.0,860327795085.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,295.916.536.418,601.699.096.667,20.238.150.294,15.418.178.892,933.271.962.271,295916536418.0,601699096667.0,20238150294.0,15418178892.0,933271962271.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,240.354.434.402,528.146.048.622,13.605.164.154,15.257.794.312,797.363.441.490,240354434402.0,528146048622.0,13605164154.0,15257794312.0,797363441490.0
