row_label_raw,row_label_full,Code,RESOURCES,Note,As at 31 December,As at 31 December_1,numeric__RESOURCES,numeric__Note,numeric__As at 31 December,numeric__As at 31 December_1
Code,Code,Code,RESOURCES,Note,2025VND,2024VND,,,,
300,300,300,LIABILITIES,,"6,888,716,787,629","5,952,424,147,163",,,,
310,310,310,Current liabilities,,"6,874,318,773,629","5,941,881,733,413",,,,
311,310 > 311,311,Short-term trade accounts payable,13,"333,861,329,514","624,291,098,148",,13.0,,
312,310 > 312,312,Short-term advances from customers,14,"182,492,529,057","188,182,044,409",,14.0,,
313,310 > 313,313,Tax and other payables to the State,15,"777,717,691,575","448,697,283,312",,15.0,,
314,310 > 314,314,Payables to employees,16,"569,308,694,234","596,322,426,230",,16.0,,
315,310 > 315,315,Short-term accrued expenses,17,"321,827,090,456","360,040,211,420",,17.0,,
319,310 > 319,319,Other short-term payables,18,"103,175,435,252","106,241,642,105",,18.0,,
320,310 > 320,320,Short-term borrowings,19,"4,223,385,635,653","3,341,542,016,760",,19.0,,
321,321,321,Provision for short-term liabilities,21(a),"26,574,672,229","26,547,708,303",,,,
322,321 > 322,322,Bonus and welfare fund,20,"335,975,695,659","250,017,302,726",,20.0,,
330,330,330,Non-current liabilities,,"14,398,014,000","10,542,413,750",,,,
337,337,337,Other long-term payables,,"1,715,384,000","178,668,000",,,,
342,342,342,Provision for long-term liabilities,21(b),"12,682,630,000","10,363,745,750",,,,
400,400,400,OWNERS' EQUITY,,"13,274,913,459,412","11,255,306,630,522",,,,
410,410,410,Capital and reserves,,"13,274,913,459,412","11,255,306,630,522",,,,
411,411,411,Owners' capital,"23, 24","3,413,186,660,000","3,380,747,760,000",,,,
411a,411a,411a,- Ordinary shares with voting rights,,"3,413,186,660,000","3,380,747,760,000",,,,
412,411a > 412,412,Share premium,24,"1,982,694,812,458","1,950,309,912,458",,24.0,,
415,411a > 415,415,Treasury shares,24,"(3,384,090,000)","(3,384,090,000)",,24.0,,
418,411a > 418,418,Investment and development fund,24,"3,471,447,556,918","2,626,281,556,918",,24.0,,
421,411a > 421,421,Undistributed earnings,24,"4,410,968,520,036","3,301,351,491,146",,24.0,,
421a,421a,421a,- Undistributed profits of the previous years,,"1,582,471,057,146","1,188,435,208,200",,,,
421b,421b,421b,- Profits of the current year,,"2,828,497,462,890","2,112,916,282,946",,,,
440,440,440,TOTAL RESOURCES,,"20,163,630,247,041","17,207,730,777,685",,,,
