row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*) VND,Phần mềm VND,Tổng cộng VND,numeric__Quyền sử dụng đất (*) VND,numeric__Phần mềm VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,557.818.230.168,150.323.964.385,708.142.194.553,557818230168.0,150323964385.0,708142194553.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,25.140.141.000,1.662.822.000,26.802.963.000,25140141000.0,1662822000.0,26802963000.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,582.958.371.168,151.986.786.385,734.945.157.553,582958371168.0,151986786385.0,734945157553.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2025,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,-,99.453.623.956,99.453.623.956,,99453623956.0,99453623956.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,15.966.221.124,15.966.221.124,,15966221124.0,15966221124.0
Tại ngày 31 tháng 12 năm 2025,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,-,115.419.845.080,115.419.845.080,,115419845080.0,115419845080.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,557.818.230.168,50.870.340.429,608.688.570.597,557818230168.0,50870340429.0,608688570597.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,582.958.371.168,36.566.941.305,619.525.312.473,582958371168.0,36566941305.0,619525312473.0
