row_label_raw,row_label_full,Code,ASSETS,Note,As at 31 December,As at 31 December_1,numeric__ASSETS,numeric__Note,numeric__As at 31 December,numeric__As at 31 December_1
Code,Code,Code,ASSETS,Note,2025VND,2024VND,,,,
100,100,100,CURRENT ASSETS,,"18,614,031,193,890","15,692,597,267,632",,,,
110,100 > 110,110,Cash and cash equivalents,3,"522,025,257,031","1,122,712,392,130",,3.0,,
111,111,111,Cash,,"438,425,257,031","1,022,712,392,130",,,,
112,112,112,Cash equivalents,,"83,600,000,000","100,000,000,000",,,,
120,120,120,Short-term investments,,"2,007,488,137,408","1,020,170,000,000",,,,
121,121,121,Trading securities,12(a),"97,918,137,408",-,,,,
123,123,123,Investments held to maturity,12(b),"1,909,570,000,000","1,020,170,000,000",,,,
130,130,130,Short-term receivables,,"153,980,309,545","401,134,922,152",,,,
131,130 > 131,131,Short-term trade accounts receivable,4,"48,760,415,990","70,851,635,761",,4.0,,
132,132,132,Short-term prepayments to suppliers,,"38,085,152,243","253,102,611,434",,,,
135,132 > 135,135,Short-term lendings,5,"8,000,000,000","40,000,000,000",,5.0,,
136,136,136,Other short-term receivables,6(a),"90,681,158,676","64,867,442,121",,,,
137,136 > 137,137,Provision for doubtful debts – short-term,7,"(31,918,617,346)","(28,518,444,279)",,7.0,,
139,139,139,Shortage of assets awaiting resolution,,"372,199,982","831,677,115",,,,
140,139 > 140,140,Inventories,8,"15,835,334,529,837","13,015,170,477,311",,8.0,,
141,141,141,Inventories,,"15,881,309,718,303","13,074,586,927,914",,,,
149,149,149,Provision for decline in value of inventories,,"(45,975,188,466)","(59,416,450,603)",,,,
150,150,150,Other current assets,,"95,202,960,069","133,409,476,039",,,,
151,151,151,Short-term prepaid expenses,9(a),"94,862,372,660","132,726,608,716",,,,
152,152,152,"Value Added Tax (""VAT"") to be reclaimed",,"234,579,085","682,867,323",,,,
153,153,153,Tax and other receivables from the State,,"106,008,324",-,,,,
