row_label_raw,row_label_full,col_0,Owners' capital VND,Share premium VND,Treasury shares VND,Investment and development fund VND,Undistributed earnings VND,Total VND,numeric__Owners' capital VND,numeric__Share premium VND,numeric__Treasury shares VND,numeric__Investment and development fund VND,numeric__Undistributed earnings VND,numeric__Total VND
As at 1 January 2024,As at 1 January 2024,As at 1 January 2024,"3,281,691,880,000","1,851,376,032,458","(3,384,090,000)","1,936,397,556,918","2,740,099,284,600","9,806,180,663,976",,,,,,
The 1st issuance of new shares under Employees' Share Ownership Plan,The 1st issuance of new shares under Employees' Share Ownership Plan,The 1st issuance of new shares under Employees' Share Ownership Plan,"65,599,920,000","65,531,920,000",-,-,-,"131,131,840,000",,,,,,
The 2nd issuance of new shares under Employees' Share Ownership Plan,The 2nd issuance of new shares under Employees' Share Ownership Plan,The 2nd issuance of new shares under Employees' Share Ownership Plan,"33,455,960,000","33,401,960,000",-,-,-,"66,857,920,000",,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,-,"2,112,916,282,946","2,112,916,282,946",,,,,,
Dividends appropriation (Note 25),Dividends appropriation (Note 25),Dividends appropriation (Note 25),-,-,-,-,"(673,803,076,400)","(673,803,076,400)",,,,,,
Appropriation of bonus and welfare fund (Note 20),Appropriation of bonus and welfare fund (Note 20),Appropriation of bonus and welfare fund (Note 20),-,-,-,-,"(98,555,000,000)","(98,555,000,000)",,,,,,
Appropriation to investment and development fund,Appropriation to investment and development fund,Appropriation to investment and development fund,-,-,-,"689,884,000,000","(689,884,000,000)",-,,,,,,
"Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders","Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders","Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders",-,-,-,-,"(89,422,000,000)","(89,422,000,000)",,,,,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,"3,380,747,760,000","1,950,309,912,458","(3,384,090,000)","2,626,281,556,918","3,301,351,491,146","11,255,306,630,522",,,,,,
The 1st issuance of new shares under Employees' Share Ownership Plan (*),The 1st issuance of new shares under Employees' Share Ownership Plan (*),The 1st issuance of new shares under Employees' Share Ownership Plan (*),"32,438,900,000","32,384,900,000",-,-,-,"64,823,800,000",,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,-,"2,828,497,462,890","2,828,497,462,890",,,,,,
Dividends appropriation (Note 25) (**),Dividends appropriation (Note 25) (**),Dividends appropriation (Note 25) (**),-,-,-,-,"(675,810,434,000)","(675,810,434,000)",,,,,,
Appropriation of bonus and welfare fund (Note 20) (**),Appropriation of bonus and welfare fund (Note 20) (**),Appropriation of bonus and welfare fund (Note 20) (**),-,-,-,-,"(105,646,000,000)","(105,646,000,000)",,,,,,
Appropriation to investment and development fund (**),Appropriation to investment and development fund (**),Appropriation to investment and development fund (**),-,-,-,"845,166,000,000","(845,166,000,000)",-,,,,,,
"Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders (**)","Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders (**)","Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders (**)",-,-,-,-,"(92,258,000,000)","(92,258,000,000)",,,,,,
As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,"3,413,186,660,000","1,982,694,812,458","(3,384,090,000)","3,471,447,556,918","4,410,968,520,036","13,274,913,459,412",,,,,,
