row_label_raw,row_label_full,Mã số,TẢI SẢN (tiếp theo),Thuyết minh,Tại ngày 31 tháng 12 năm > 2025 VND,Tại ngày 31 tháng 12 năm > 2024 VND,numeric__TẢI SẢN (tiếp theo),numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2025 VND,numeric__Tại ngày 31 tháng 12 năm > 2024 VND
200,200,200,TẢI SẢN DÀI HẠN,,1.549.599.053.151,1.515.133.510.053,,,1549599053151.0,1515133510053.0
210,210,210,Khoàn phải thu dài hạn,,121.168.536.356,115.599.492.454,,,121168536356.0,115599492454.0
216,216,216,Phải thu dài hạn khác,6(b),121.168.536.356,115.599.492.454,,,121168536356.0,115599492454.0
220,220,220,Tài sản cố định,,855.770.473.476,857.118.818.527,,,855770473476.0,857118818527.0
221,221,221,Tài sản cố định hữu hình,10(a),236.245.161.003,248.430.247.930,,,236245161003.0,248430247930.0
222,222,222,Nguyên giá,,845.032.678.156,796.271.142.120,,,845032678156.0,796271142120.0
223,223,223,Giá trị khấu hao lũy kế,,(608.787.517.153),(547.840.894.190),,,-608787517153.0,-547840894190.0
227,227,227,Tài sản cố định vô hình,10(b),619.525.312.473,608.688.570.597,,,619525312473.0,608688570597.0
228,228,228,Nguyên giá,,734.945.157.553,708.142.194.553,,,734945157553.0,708142194553.0
229,229,229,Giá trị khấu hao lũy kế,,(115.419.845.080),(99.453.623.956),,,-115419845080.0,-99453623956.0
240,240,240,Tài sản dở dang dài hạn,,94.707.660.034,64.702.641.159,,,94707660034.0,64702641159.0
242,242,242,Chi phí xây dựng cơ bản dở dang,11,94.707.660.034,64.702.641.159,,11.0,94707660034.0,64702641159.0
250,250,250,Đầu tư tài chính dài hạn,12(c),5.930.000.000,3.980.000.000,,,5930000000.0,3980000000.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,,401.201.613.400,399.251.613.400,,,401201613400.0,399251613400.0
254,254,254,Dự phòng đầu tư tài chính dài hạn,,(395.271.613.400),(395.271.613.400),,,-395271613400.0,-395271613400.0
260,260,260,Tài sản dài hạn khác,,472.022.383.285,473.732.557.913,,,472022383285.0,473732557913.0
261,261,261,Chi phí trả trước dài hạn,9(b),144.500.376.660,276.525.499.295,,,144500376660.0,276525499295.0
262,262,262,Tài sản thuế thu nhập doanh nghiệp hoãn lại,22,327.522.006.625,197.207.058.618,,22.0,327522006625.0,197207058618.0
270,270,270,TỔNG TÀI SẢN,,20.163.630.247.041,17.207.730.777.685,,,20163630247041.0,17207730777685.0
