row_label_raw,row_label_full,Công ty Cổ phần Kết nối Nhân tài,304.986.469,-,numeric__304.986.469,numeric__-
Công ty Cổ phần Sửa Việt Nam,Công ty Cổ phần Sửa Việt Nam,Công ty Cổ phần Sửa Việt Nam,300.000.000,807.000.000,300000000.0,807000000.0
Công ty Cổ phần Sản xuất Thương mại,Công ty Cổ phần Sản xuất Thương mại,Công ty Cổ phần Sản xuất Thương mại,,,,
Dịch vụ Ngôi nhà Sài Gòn,Công ty Cổ phần Sản xuất Thương mại > Dịch vụ Ngôi nhà Sài Gòn,Dịch vụ Ngôi nhà Sài Gòn,-,25.492.500,,25492500.0
,,,604.986.469,832.492.500,604986469.0,832492500.0
