row_label_raw,row_label_full,col_0,2025VND,2024VND,numeric__2025VND,numeric__2024VND
Revenue from sales of goods and rendering of services,Revenue from sales of goods and rendering of services,Revenue from sales of goods and rendering of services,Revenue from sales of goods and rendering of services,Revenue from sales of goods and rendering of services,,
Revenue from sales of jewelry,Revenue from sales of jewelry,Revenue from sales of jewelry,"35,250,688,550,468","38,092,471,529,707",,
Revenue from sales of accessories,Revenue from sales of accessories,Revenue from sales of accessories,"85,422,286,064","63,625,784,731",,
Revenue from rendering of services,Revenue from rendering of services,Revenue from rendering of services,"74,478,776,084","76,303,869,612",,
,,,"35,410,589,612,616","38,232,401,184,050",,
Sales deduction,Sales deduction,Sales deduction,Sales deduction,Sales deduction,,
Sales return,Sales return,Sales return,"(434,546,683,224)","(409,564,012,665)",,
Net revenue from sales of goods and rendering of services,Net revenue from sales of goods and rendering of services,Net revenue from sales of goods and rendering of services,Net revenue from sales of goods and rendering of services,Net revenue from sales of goods and rendering of services,,
Net revenue from sales of jewelry,Net revenue from sales of jewelry,Net revenue from sales of jewelry,"34,816,141,867,244","37,682,907,517,042",,
Net revenue from sales of accessories,Net revenue from sales of accessories,Net revenue from sales of accessories,"85,422,286,064","63,625,784,731",,
Net revenue from rendering of services,Net revenue from rendering of services,Net revenue from rendering of services,"74,478,776,084","76,303,869,612",,
,,,"34,976,042,929,392","37,822,837,171,385",,
